country,code,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,600176,2016,Q2,2016-06-30,CNY,1954152712.33,1430683431.77,1061462970.9100001,13327633.740000002,85165561.79,179182713.65999997,91922656.96,503859594.74,13722567.06,3780428.1100000013,103729585.85000001,402239445.34,2432157534.0,4461419672.52,3014075736.1,278526365.2,2568180089.5,1743638031.35,132464769.45,1323192150.4,8345551689.86,440111650.61,34481870.38,14748621176.39,992313825.19,9832642.48,104693426.76,8311259200.25,4482095168.71,10214129971.53,10300818497.29,204089160.15,3181698693.18,1380367101.14,139158881.93,12295943466.42,1954485782.5700002,117410575.13,785748559.35,177122273.07000002,211173242.60000002,-78211999.11999999,995349182.83,468898231.07,-563976972.55,-106454035.63000011,309994312.51000005,309994312.51
CN,600176,2016,Q3,2016-09-30,CNY,1803076286.6100001,1365823006.1399999,1006260617.0099998,7093362.199999999,62290930.69999999,174126824.21000004,116051272.01999998,462247150.8499999,10832056.0,10793061.29,75525294.73999998,379920675.8800001,2432157534.0,4461419672.52,3393996411.98,278526365.2,2608402933.52,1587459883.55,231666423.07,1441385622.97,8601345180.62,437206472.62,30143884.36,14997297581.52,1050670188.19,11076909.82,140530879.73,8494758236.13,4400282181.07,10612112359.0,10703602344.94,219733144.93,3155817619.45,1681274480.47,117670625.83,13326531678.07,1566206790.8299994,180723566.29,628093624.6199999,162226801.89999998,152920709.95,44753999.62999998,765698799.2,110117156.46000004,-110086624.65999997,-588967384.81,40222844.01999998,40222844.01999998
CN,600176,2016,Q4,2016-12-31,CNY,1926898507.42,1544898724.1800003,1021286275.4300003,30925067.490000002,83479386.73000002,164665135.39999998,218273153.06,351859966.71000004,84038860.47999999,10123259.75,55706002.660000026,379216010.23,2432157534.0,4461531847.94,3753152669.43,298586117.98,1854648483.23,1332355375.54,156316847.92,1385282377.39,8212472109.44,479446311.84,57183001.68,15719595975.7,923283567.99,9641673.66,142253022.39,9462148755.37,3422013470.43,10966248455.23,11047905859.34,174450543.93,3173746056.92,1675632889.47,91891127.7,12768530461.88,1094754173.5200005,-109710155.51999998,-311526864.5999999,227574832.44000006,250239211.58000004,58198014.67000002,765760385.5900002,813289713.88,-1486143817.96,75759160.3599999,-708171314.1399999,-708171314.1399999
CN,600176,2017,Q1,2017-03-31,CNY,1859506018.28,1327740750.06,983819798.61,18907758.97,72004062.25,156983591.4,96440559.99,539675813.06,25179576.97,4459282.23,86508495.39,470315792.86,2432157534.0,4461531847.94,4223468462.29,298586117.98,2098742626.91,1675619204.91,186146621.89,1494384585.49,8030058242.33,477427199.76,60009359.54,16240991339.23,1117185899.36,11388323.75,168460190.8,9240989242.57,3507529842.16,11437301273.17,11522530496.83,169856886.11,3362710450.96,1840498563.37,91219667.35,13302198934.74,1729344717.24,127381892.56,958435499.67,198955802.17,177040958.36,101175947.6,425241800.98,278663675.4,230303785.89,-367377328.0,284846307.48,2035199889.96
CN,600176,2017,Q2,2017-06-30,CNY,2217962428.3199997,1584858146.48,1206821928.4099998,23278733.57,87336370.71000001,166655338.41,97861079.48,652691792.56,8577411.170000002,2634335.3499999996,119573046.51,536001380.01,2918589041.0,3975100340.94,4151430458.8,298586117.98,1924429074.01,1817880060.53,203170115.52,1284293441.41,8083610110.8,501416768.41,58327991.42,16112336147.65,935259595.75,12489388.13,153934586.27,8942253859.18,3826015378.93,11342696346.83,11427677020.34,193643162.95,3434980645.74,1663298934.2,137509914.24,12969090063.99,2220262511.5699997,20277703.150000006,764843763.3000001,168590061.41,224266491.18,385868387.86,702280502.3799999,243099799.5,-494513085.2,-592142148.15,-385185025.13,-385185025.1300001
CN,600176,2017,Q3,2017-09-30,CNY,2361849202.98,1739203052.54,1332305856.62,24080302.810000002,86801984.44999999,185924929.45,110391775.20000002,645982231.97,11244319.030000001,4750958.709999999,105304548.16,545219163.63,2918589041.0,3975100340.94,4696649622.43,298586117.98,1762976559.18,1681804149.65,171828110.71,1168928379.21,7967502762.39,531087298.82,57483841.46,16570562658.19,939723649.84,14442824.62,202122236.68,8744379061.66,3866282307.73,11835508009.17,11927404051.19,257801809.93,3558356441.32,1717246204.81,78570640.51,13130698129.72,2096725297.3799996,99645158.28999999,902013197.28,192366211.40000004,216032542.99999994,-228695850.27999997,1119360512.7700002,370162457.88,-484401096.11999995,-527821815.4499999,112051118.16000001,112051118.16000009
CN,600176,2017,Q4,2017-12-31,CNY,2212231529.540001,1621530642.1099997,1162915000.8800006,20561517.749999993,75144307.70000002,209752524.70000005,115301668.32,654955832.76,11042113.909999996,4359945.780000001,64167062.339999974,598313050.3000002,2918589041.0,4022135150.91,5215634884.76,377913905.94,1842063467.32,1232514923.51,317865067.8,1329383849.68,7838628641.57,521286357.25,101973166.59,16953179559.77,1054863408.49,23837362.23,291210706.78,7819976985.42,4418417953.49,12448657302.83,12553413262.43,138788650.43,3499214394.14,2074157279.33,100663131.54,13415339996.11,987026093.9200001,32740389.72000003,-992836091.95,232931969.40999997,181168432.88,49430409.57999998,1555887507.25,1156507655.58,-532190159.20000017,-814766208.0500002,75435520.66,75435520.66000009
CN,600176,2018,Q1,2018-03-31,CNY,2494844789.39,1768159982.8,1365328951.63,30339780.02,97274187.74,153237630.58,122967282.51,728515015.18,17773990.2,1664243.19,123523152.25,616900951.29,2918589041.0,4022135150.91,5832535836.05,377913905.94,1589311077.88,1769203489.18,291316362.34,1207143244.82,7753155925.49,516190924.05,102174336.55,18033463874.26,1417398629.1,26555746.74,341033743.9,8492429915.22,4157627238.62,12971367424.01,13136562645.91,215280870.51,3573590565.68,2607193573.8,63325618.5,13933369998.24,2139665388.54,46663830.13,1115756527.28,232045167.12,234861338.76,134617351.06,477444625.49,326465910.03,-545388926.03,-175304280.32,-252617144.74,1584884358.91
CN,600176,2018,Q2,2018-06-30,CNY,2523024729.35,1745851576.89,1365234232.2399998,21645689.38,98142295.52,189089510.81999996,53914005.10000001,789233952.2900001,-6762012.35,1258266.4,130165576.71000001,650169889.1400001,3502306849.0,3438417342.91,5753058464.94,377913905.94,2173719453.83,1758096475.13,353576571.68,1171619428.89,7827915266.66,555176492.58,108486390.36,19361519843.18,1753593105.79,36321531.44,330597412.09,10326804175.67,3593835153.15,13034272657.19,13268795781.02,191747510.28,3525994336.58,3130442353.46,88226475.83,14860682515.5,2419774971.79,28167460.21,965699950.3399999,199889048.39999998,244662079.57,-46246371.230000004,1089572296.04,1073800660.46,-435062979.53,-115135399.82,574939262.12,574939262.1200001
CN,600176,2018,Q3,2018-09-30,CNY,2611480922.6900005,1842322321.8899999,1458404079.0700002,19821715.890000008,118890137.63999999,-8647304.179999948,48603549.41,783753959.45,3600003.49,3032647.3600000003,138396969.42,645364781.3599999,3502306849.0,3438417342.91,6398423246.3,377913905.94,1919738791.7,1874299747.85,545737769.0,1489576075.82,8384030442.77,590214301.55,104043739.64,21115470634.69,,28059312.97,349605268.75,11749545238.09,3809666629.67,13648635622.58,13940289209.7,253574253.91,3611759203.94,3758630424.15,84234301.0,16097545521.35,2368923815.67,66065351.379999995,946746171.6300001,233619222.08000004,191406543.05,218428409.7,869710985.1000001,1790692013.4199998,-2036651566.19,858188865.97,-279087402.53999996,-279087402.5400002
