country,code,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,300666,2016,Q4,2016-12-31,CNY,141090584.79999995,123279816.14000002,98789845.22000003,1473840.6400000006,8279045.400000002,13156154.599999994,-74850.77000000002,17542137.64,5340051.49,1030654.02,2497351.549999999,19561120.25,164070000.0,31950477.42,83665010.08,9850639.95,85721538.1,89248420.86,5151037.85,122803414.73,306307218.69,22888741.72,6743135.3,340593448.52,92365145.79,8932506.15,7863553.92,242176596.91,115226803.76,289704893.85,289497266.54,664944.4,91493947.5,108865145.79,449593.12,247008075.59,127821014.08999997,6356927.350000001,82710000.25,11116329.670000002,5186205.709999999,14405967.18,22588502.22,12882999.470000003,-4924830.240000002,2253356.2,21859624.57,21859624.569999993
CN,300666,2017,Q1,2017-03-31,CNY,115555450.57,104045959.72,78014674.49,1529920.36,7159294.59,12246539.7,3641806.6,11263000.87,823633.1,252.03,2671286.93,9589666.96,164070000.0,31916582.62,93254677.04,9850639.95,81467883.81,72449017.16,5725213.36,129100288.71,293574663.08,22325534.43,7428176.99,358670811.17,67097116.82,5354201.29,5213228.97,230985411.64,122369212.9,299240754.7,298890849.71,616432.4,72449017.16,75447116.82,875053.17,244248717.91,133738611.1,853756.64,104454791.63,17171922.45,9040585.65,11536924.63,-6926977.04,27075956.44,-24375101.74,31320991.0,-178654.29,77292883.81
CN,300666,2017,Q2,2017-06-30,CNY,134822219.73000002,120970062.09,93162697.47000001,814014.4799999997,6854469.75,16215045.52,3709264.6699999995,14052166.24,1390494.1799999997,50552.21,4553868.390000001,10994341.14,218760000.0,189344427.91,104249018.18,9850639.95,276667619.23,89652995.38,7122343.65,123515166.63,503039303.24,22008360.9,7331654.85,390538676.62,86811944.48,8074818.12,8430389.12,246426993.24,122385914.44,522276260.83,524765072.18,15098742.36,90347116.38,87661944.48,743133.56,260525712.43,121504308.6,4809204.390000001,74404451.34,13259345.310000002,3047909.369999999,13978267.459999999,21644859.91,30263308.819999997,-30263308.8,208452782.03,198949735.42,198949735.42000002
CN,300666,2017,Q3,2017-09-30,CNY,138838841.05,122667435.5,92523475.29999998,630180.0500000003,8365546.640000001,17349645.18,2604289.66,18061268.369999997,378741.66000000015,589884.74,-428633.25,18036443.299999997,218760000.0,188955702.61,122285461.48,9850639.95,136683962.05,108684567.48,7027637.24,131690973.68,398108065.54,21658721.7,8249572.26,426047246.65,107103430.88,9482120.64,6268147.35,156246087.68,124961775.79,539833096.32,542947448.72,2032671.46,110940134.23,107103430.88,858366.67,269774448.68,122638003.65000004,278445.21999999974,71586636.38,17319025.59,5384882.379999999,18253529.720000003,10372161.97,44612838.35,-39612838.309999995,-108985306.65,-139558657.18,-139558657.18
CN,300666,2017,Q4,2017-12-31,CNY,160809175.67999995,145321914.23000002,112225805.44,620517.71,10864797.989999998,18668376.950000003,1914766.8900000006,27887044.800000004,-957388.1099999999,1001100.5,867601.29,25414116.520000003,218760000.0,188751553.95,141160510.12,16389707.83,148049993.04,118164833.85,4526718.64,146645648.72,439798369.58,21559951.44,8672032.95,440815187.73,119245618.1,11950424.62,6504061.28,189677846.07,122985366.37,564989048.35,567950344.87,3955158.1,122932689.41,122245618.1,602449.42,272711174.32,143897692.46999997,7439346.640000001,100561061.97,16777237.979999997,2158166.6400000006,17328685.269999996,14532257.239999998,27994900.83,-24963575.24000001,14365051.370000005,3239778.9899999946,3239778.9899999797
CN,300666,2018,Q1,2018-03-31,CNY,138635560.25,129132231.15,96144869.67,601833.67,9435757.99,16605126.11,5583765.22,13799599.98,1007501.0,,1774666.19,13112777.74,218760000.0,188751553.95,154273287.86,16389707.83,182486359.91,108990602.37,13983477.51,182006746.47,506068016.33,21108867.56,8598197.36,465313477.1,124000858.65,7826635.56,3838919.94,267081225.82,123448957.12,577979527.74,580851310.49,2356056.93,109590670.52,128000858.65,859127.06,305199242.37,149391639.33,6381449.36,123533162.47,23193974.89,6213876.24,15551686.45,-6785228.91,34285728.31,-34285728.31,78186246.8,34043602.8,173967343.84
CN,300666,2018,Q2,2018-06-30,CNY,157086540.13,146534915.20000002,114611080.63000001,655452.6,9849260.610000001,21463503.380000003,-2671657.78,13163341.379999999,40823.06999999995,600732.07,1228274.4300000002,11480958.639999999,218760000.0,188751553.95,154159967.21,16389707.83,255674424.53,125025092.61,7789594.39,200523829.01,616137889.85,20707108.29,9747310.55,496034872.17,136947125.45,9294732.05,6682115.0,395370504.7,135432157.09,578599136.0,581370100.23,966121.55,128435253.98,137947125.45,1737134.54,310905741.85,145997932.50999996,284349.63999999966,115238550.03,18933680.92,1589759.21,21824694.070000004,-6410533.959999999,39320156.08,-39320156.08,93824663.36,53120364.69,53120364.69
CN,300666,2018,Q3,2018-09-30,CNY,173304703.72000003,152592953.34999996,120213622.26999998,640380.97,10699265.95,-9399032.46,-2329164.4699999997,21014463.28,850000.0000000001,50000.0,1359376.5199999996,20595250.099999998,218760000.0,188751553.95,174755217.31,16389707.83,239394894.03,122287583.06,20119084.82,212779983.04,609946467.69,20338249.36,10541402.46,517387277.32,,10750001.3,5197019.54,474879845.11,50224852.39,599583499.3,602229047.51,1426417.1,125828690.5,102746409.14,1928000.46,331551200.02,193139573.25,4112990.8599999994,170782874.60000002,18907703.369999997,3572300.8099999996,21818880.799999997,-4104509.76,42036466.79000001,-43141766.79000001,48521314.93000001,4465288.100000009,4465288.099999994
CN,300666,2018,Q4,2018-12-31,CNY,180656440.48000002,176161350.40000004,126429356.88999999,1143433.03,13921299.010000002,13043454.369999997,4419333.78,6974867.859999999,5448196.88,660382.4500000001,-1626400.3099999996,13619612.660000004,218760000.0,188751553.95,181482871.2,23281666.6,513920557.58,130764911.52,7292658.0,233485516.29,902490971.42,21455500.51,13914939.55,541657415.93,121005016.96,13984580.71,3893424.1,781497003.44,46780892.08,613456738.04,615870491.83,1331351.86,134573769.64,122005016.96,2316896.75,361554825.62,157181706.45,8384615.490000002,101523233.19999999,19110822.4,5515618.9,23659148.949999996,22425301.22,10084124.269999996,-20057254.819999993,271838906.36,274080099.63,274080099.63
CN,300666,2019,Q1,2019-03-31,CNY,166613398.91,162487036.26,113493258.75,1512760.45,11295476.59,12035087.83,8807427.04,10234404.28,,23.65,-163621.6,10746424.93,218760000.0,188751553.95,192229296.13,23281666.6,360329758.19,136202544.51,14783182.91,233554934.01,763159651.21,21117729.39,15443774.61,563902510.25,,7693262.44,1500668.68,653160709.19,47945554.69,623892653.38,625955897.58,1464337.24,143665891.66,100527309.83,1842294.04,364472954.6,161576600.85,2902965.42,117580415.49,27672050.52,5590199.31,21552072.83,-382925.37,40544829.34,-45517959.89,-104966719.87,-153463398.04,352169698.22
