country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,002384,2016-06-13,8.4739027,5.5165627,150.496512,97.974154,0.6382908404,0.006960566115539656
US,002384,2016-06-14,8.4739027,5.5165627,154.225029,100.401441,0.6382908404,0.007502812134012348
US,002384,2016-06-15,8.4739027,5.5165627,159.733066,103.987207,0.6382908404,0.009866458579940975
US,002384,2016-06-16,8.4739027,5.5165627,166.088493,108.124629,0.6382908404,0.020039256528163817
US,002384,2016-06-17,8.4739027,5.5165627,165.071625,107.462641,0.6382908404,0.012867714423957217
US,002384,2016-06-20,8.4739027,5.5165627,171.342313,111.544898,0.6382908404,0.01417203315303585
US,002384,2016-06-21,8.4739027,5.5165627,171.003356,111.324235,0.6382908404,0.022928886119969256
US,002384,2016-06-22,8.4739027,5.5165627,173.630266,113.03437,0.6382908404,0.009479142355505215
US,002384,2016-06-23,8.4739027,5.5165627,168.800142,109.889929,0.6382908404,0.007669526344691213
US,002384,2016-06-24,8.4739027,5.5165627,164.054756,106.800654,0.6382908404,0.009098484220263705
US,002384,2016-06-27,8.4739027,5.5165627,172.274442,112.15172,0.6382908404,0.0095476987244614
US,002384,2016-06-28,8.4739027,5.5165627,169.986488,110.662248,0.6382908404,0.008451746796667844
US,002384,2016-06-29,8.4739027,5.5165627,169.732271,110.496751,0.6382908404,0.010487513622265217
US,002384,2016-06-30,8.4739027,5.5165627,168.291708,109.558935,0.6382908404,0.009332510981038288
US,002384,2016-07-01,8.4739027,5.5165627,166.766405,108.565954,0.6382908404,0.004743139191343323
US,002384,2016-07-04,8.4739027,5.5165627,169.732271,110.496751,0.6382908404,0.009690263495709008
US,002384,2016-07-05,8.4739027,5.5165627,171.172835,111.434567,0.6382908404,0.010068288841692741
US,002384,2016-07-06,8.4739027,5.5165627,168.630664,109.779598,0.6382908404,0.005796020055788462
US,002384,2016-07-07,8.4739027,5.5165627,169.223837,110.165757,0.6382908404,0.008009241125697609
US,002384,2016-07-08,8.4739027,5.5165627,168.291708,109.558935,0.6382908404,0.007287882831130454
US,002384,2016-07-11,8.4739027,5.5165627,166.088493,108.124629,0.6382908404,0.0068292606191949785
US,002384,2016-07-12,8.4739027,5.5165627,164.139495,106.85582,0.6382908404,0.006744918135536297
US,002384,2016-07-13,8.4739027,5.5165627,162.783671,105.973169,0.6382908404,0.006813802570567632
US,002384,2016-07-14,8.4739027,5.5165627,161.004151,104.814691,0.6382908404,0.005532954726987838
US,002384,2016-07-15,8.4739027,5.5165627,161.427846,105.090519,0.6382908404,0.004262019671290302
US,002384,2016-07-18,8.4739027,5.5165627,159.987283,104.152704,0.6382908404,0.005447678789136911
US,002384,2016-07-19,8.4739027,5.5165627,163.037888,106.138666,0.6382908404,0.00546385315469813
US,002384,2016-07-20,8.4739027,5.5165627,161.258368,104.980188,0.6382908404,0.003931179195626119
US,002384,2016-07-21,8.4739027,5.5165627,160.326239,104.373366,0.6382908404,0.004264207565187171
US,002384,2016-07-22,8.4739027,5.5165627,159.309371,103.711379,0.6382908404,0.004025245652159778
US,002384,2016-07-25,8.4739027,5.5165627,159.39411,103.766544,0.6382908404,0.002812301585667251
US,002384,2016-07-26,8.4739027,5.5165627,161.851542,105.366348,0.6382908404,0.004823383209250208
US,002384,2016-07-27,8.4739027,5.5165627,154.055551,100.29111,0.6382908404,0.007639020920077357
US,002384,2016-07-28,8.4739027,5.5165627,157.445112,102.497735,0.6382908404,0.006327659391227138
US,002384,2016-07-29,8.4739027,5.5165627,151.174424,98.415479,0.6382908404,0.00656512730550942
US,002384,2016-08-01,8.4739027,5.5165627,146.683256,95.4917,0.6382908404,0.0045697539104384574
US,002384,2016-08-02,8.4739027,5.5165627,148.632253,96.76051,0.6382908404,0.003979133487100342
US,002384,2016-08-03,8.4739027,5.5165627,148.971209,96.981172,0.6382908404,0.0042120202772684655
US,002384,2016-08-04,8.4739027,5.5165627,149.988078,97.64316,0.6382908404,0.004096503255813877
US,002384,2016-08-05,8.4739027,5.5165627,147.700124,96.153688,0.6382908404,0.0023009999867003427
US,002384,2016-08-08,8.4739027,5.5165627,150.581251,98.029319,0.6382908404,0.002384207220127746
US,002384,2016-08-09,8.4739027,5.5165627,151.089685,98.360313,0.6382908404,0.003191317030345416
US,002384,2016-08-10,8.4739027,5.5165627,152.614988,99.353294,0.6382908404,0.004373953927981731
US,002384,2016-08-11,8.4739027,5.5165627,148.208558,96.484682,0.6382908404,0.0024755240581178727
US,002384,2016-08-12,8.4739027,5.5165627,151.174424,98.415479,0.6382908404,0.0023423540135762947
US,002384,2016-08-15,8.4739027,5.5165627,153.2929,99.794619,0.6382908404,0.005078042729945436
US,002384,2016-08-16,8.4739027,5.5165627,152.530249,99.298129,0.6382908404,0.004758181846954651
US,002384,2016-08-17,8.4739027,5.5165627,151.174424,98.415479,0.6382908404,0.0032681399563391257
US,002384,2016-08-18,8.4739027,5.5165627,148.88647,96.926007,0.6382908404,0.005396173595432008
US,002384,2016-08-19,8.4739027,5.5165627,149.733861,97.477663,0.6382908404,0.003742904671303342
US,002384,2016-08-22,8.4739027,5.5165627,145.920604,94.99521,0.6382908404,0.005508399335290928
