country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,total_equity,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,09992,09992,2017,Q2,2017-06-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09992,09992,2017,Q4,2017-12-31,HKD,158074000.0,1569000.0,2273000.0,4379000.0,75254000.0,20897000.0,1362000.0,1764000.0,704000.0,1569000.0,0.01,15507000.0,-8884000.0,-17602000.0,13592000.0,142279000.0,78824000.0,65801000.0,63455000.0,44019000.0,12096000.0,0.0
HK,09992,09992,2018,Q2,2018-06-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09992,09992,2018,Q4,2018-12-31,HKD,514511000.0,99521000.0,132260000.0,133614000.0,298025000.0,43599000.0,5484000.0,2455000.0,32739000.0,99521000.0,0.86,175000000.0,-100510000.0,8718000.0,96802000.0,402795000.0,218830000.0,254997000.0,183965000.0,144874000.0,35874000.0,0.0
HK,09992,09992,2019,Q2,2019-06-30,HKD,28885000.0,14092000.0,18784000.0,17382000.0,32567000.0,20533000.0,-2703000.0,-445000.0,4692000.0,14092000.0,0.12,-29612000.0,113063000.0,-114991000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09992,09992,2019,Q4,2019-12-31,HKD,1140038000.0,337505000.0,447331000.0,447798000.0,759742000.0,78336000.0,14232000.0,3803000.0,109826000.0,338408000.0,-0.59,357501000.0,-130820000.0,-49311000.0,324614000.0,1066481000.0,592781000.0,716601000.0,473700000.0,381570000.0,103559000.0,82000.0
HK,09992,09992,2020,Q2,2020-06-30,HKD,817791000.0,141358000.0,196882000.0,208368000.0,533439000.0,125397000.0,31369000.0,4624000.0,55598000.0,126233000.0,0.12,122191000.0,-48259000.0,423756000.0,821686000.0,1789174000.0,1239951000.0,1277241000.0,547395000.0,411129000.0,135222000.0,86000.0
HK,09992,09992,2020,Q4,2020-12-31,HKD,1695680000.0,382147000.0,510521000.0,510415000.0,1060669000.0,154570000.0,14051000.0,6322000.0,128493000.0,358303000.0,0.32,581167000.0,-168676000.0,4446618000.0,5680235000.0,6971299000.0,6129374000.0,6255900000.0,840297000.0,665313000.0,238325000.0,923000.0
HK,09992,09992,2021,Q2,2021-06-30,HKD,1772577000.0,358742000.0,496555000.0,486687000.0,1117065000.0,239673000.0,25425000.0,8160000.0,137757000.0,304325000.0,0.26,441657000.0,-4498407000.0,-120998000.0,1503622000.0,7640984000.0,6313060000.0,6683951000.0,1326307000.0,1092166000.0,270221000.0,923000.0
HK,09992,09992,2021,Q4,2021-12-31,HKD,2718074000.0,495597000.0,674636000.0,663125000.0,1641559000.0,317836000.0,29000000.0,-15523000.0,178867000.0,434687000.0,0.36,337440000.0,3850405000.0,-314829000.0,5264710000.0,8323626000.0,6818182000.0,6757289000.0,1503620000.0,1092706000.0,366281000.0,923000.0
HK,09992,09992,2022,Q2,2022-06-30,HKD,2358818000.0,332820000.0,457936000.0,446057000.0,1370407000.0,322679000.0,24335000.0,15981000.0,124991000.0,575801000.0,0.24,373578000.0,-4209902000.0,-480561000.0,1075380000.0,8589874000.0,7112148000.0,6841953000.0,1475691000.0,1026122000.0,403986000.0,920000.0
HK,09992,09992,2022,Q4,2022-12-31,HKD,2258506000.0,142840000.0,181593000.0,137323000.0,1284136000.0,363601000.0,21237000.0,22598000.0,38737000.0,311045000.0,0.10999999999999999,517444000.0,-488506000.0,-696876000.0,685314000.0,8580062000.0,6963288000.0,6615535000.0,1614737000.0,1130747000.0,448884000.0,908000.0
HK,09992,09992,2023,Q2,2023-06-30,HKD,2813812000.0,476575000.0,618547000.0,537762000.0,1698360000.0,331252000.0,37433000.0,16174000.0,141305000.0,646723000.0,0.35,1092337000.0,82034000.0,-558287000.0,1473382000.0,9065337000.0,7303410000.0,7079054000.0,1759359000.0,1345695000.0,499814000.0,891000.0
HK,09992,09992,2023,Q4,2023-12-31,HKD,3487190000.0,605769000.0,797208000.0,692884000.0,2165711000.0,376048000.0,37467000.0,16163000.0,185679000.0,517154000.0,0.4600000000000001,898259000.0,151906000.0,-283270000.0,2077927000.0,9968863000.0,7769927000.0,7683469000.0,2188481000.0,1733301000.0,653278000.0,885000.0
HK,09992,09992,2024,Q2,2024-06-30,HKD,4557831000.0,921333000.0,1228438000.0,1126417000.0,2919105000.0,434410000.0,31586000.0,22218000.0,264296000.0,1069848000.0,0.69,1905271000.0,333591000.0,-715974000.0,3608674000.0,11017479000.0,8399036000.0,8715341000.0,2564822000.0,2068343000.0,627083000.0,882000.0
HK,09992,09992,2024,Q4,2024-12-31,HKD,8479918000.0,2204140000.0,3137374000.0,3027855000.0,5788660000.0,512683000.0,52702000.0,26765000.0,793171000.0,2390648000.0,1.67,3048949000.0,-324634000.0,-242529000.0,6109017000.0,14870672000.0,10683505000.0,12236081000.0,3986033000.0,3370028000.0,739378000.0,882000.0
HK,09992,09992,2025,Q2,2025-06-30,HKD,13876276000.0,4574368000.0,6156872000.0,6043741000.0,9761064000.0,770405000.0,67232000.0,28364000.0,1475159000.0,4658377000.0,3.44,5977473000.0,1234090000.0,-1404951000.0,11922694000.0,21356679000.0,14184042000.0,17850582000.0,6927105000.0,5923198000.0,941575000.0,882000.0
