country,code,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,revenue_ttm,net_income_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy
HK,01024,2017,Q4,2017-12-31,,0.31306500161039325,0.07289949203664742,-2.40359284366667,,-2.6053065723685007,2.2289818529070473,,3.883518785613473,0.2464654686364226,-2.872455855572725,,,,,,,,,,
HK,01024,2018,Q4,2018-12-31,,0.2668149923414023,-0.09436148129594124,0.636704484641713,,0.4621296436256952,2.667498679005187,,3.166599967632511,-0.019744392369008552,0.47646041909405135,0.4342532679711131,,,,,,,,,
HK,01024,2019,Q2,2019-06-30,,0.32349026479816906,0.0641118779832297,-0.015733178078667295,,-0.03260948648985021,,,,0.19620858830541457,-0.43928265052232474,,0.42781383968503817,,-1.0352817514951091,29039244000.0,7346971000.0,0.2530014555475342,,,
HK,01024,2019,Q3,2019-09-30,,0.38717261227438327,0.055780339361229295,-0.13236296995689117,,,,,,0.27096581274336246,,,-0.4033443382159583,,,,,,,,
HK,01024,2019,Q4,2019-12-31,,0.38920621748193496,-0.01842967283032148,-0.8793525828286152,,-1.1959407401319575,1.1260139103151725,,2.719268810986432,0.21183054064865026,-1.484035388982582,0.8428264802797276,1.163162227763062,-3.545127707166741,,49310139000.0,-21000285000.0,-0.42588168327815906,,,
HK,01024,2020,Q1,2020-03-31,,0.34182082835532646,-0.4034150545202122,-2.4475538547833655,,-1.8813839486435373,,,,-0.05191171517527668,-1.841480488506614,,-0.43480467509302967,,,,,,,,
HK,01024,2020,Q2,2020-06-30,,0.3433707703823868,-0.29880024830075197,-2.6891299624112976,,-2.7252427650369677,0.2633709953244883,,3.496231955392461,-0.06879437884252641,-2.655524534294525,0.4826468890678437,1.03248015031467,,,70011000000.0,-119314747000.0,-1.7042285783662567,,1.410909870794157,-17.239991555703703
HK,01024,2020,Q3,2020-09-30,,0.4308488861582382,-0.08963838522166621,-1.9066967255308571,,-0.5770084359554,0.21520513968064095,,3.879345886368172,0.06339444412427674,-0.5961929914028462,0.507051027837568,-0.39352347818833966,,,75177744000.0,-147246251000.0,-1.9586415229486003,,,
HK,01024,2020,Q4,2020-12-31,2021-03-23,0.4519531214154479,-0.08232085717280765,-1.4510165253577538,,-0.9365417866406589,1.3598656172675712,,4.069179039133328,0.12047684916819038,-1.0143021715825156,0.5177811205620353,1.1785637840828027,,,86590764000.0,-176407446000.0,-2.0372547584867133,,0.7560438026751455,
HK,01024,2021,Q1,2021-03-31,2021-05-24,0.41057701629606125,-0.42845932154094285,-3.3931967836798487,,-0.7762924594503522,2.350158360130081,0.6031819512846611,0.3762157913464983,-0.08414707878339195,-0.7570413676603026,0.36613177641720274,-0.49127625665027586,,,91152082000.0,-203665840000.0,-2.2343520359743403,,,
HK,01024,2021,Q2,2021-06-30,2021-08-25,0.4381014279559258,-0.3770021734875483,-0.36758874342658215,-0.12236198906488026,-0.07315581047215014,1.8827107224339188,0.7489062805614474,0.4281910368057374,-0.14320397708824983,-0.044656017717156465,-0.24414924173724273,0.1245267032718449,,,84970002000.0,-142609850000.0,-1.6783552623665938,-2.4803818995553675,0.21366645241462057,
HK,01024,2021,Q3,2021-09-30,2021-11-23,0.41519589857539974,-0.3612744990637524,-0.3457789954090126,-0.13528681966716846,-0.07582316424070148,1.6671035201235505,0.8226887658963079,0.4513386724359608,-0.07696422047416537,-0.058946283900508045,0.33447922985230716,0.07075413089601201,,,90106444000.0,-120415636000.0,-1.336370970315952,-2.2989774449003892,0.19857871765877944,
HK,01024,2021,Q4,2021-12-31,2022-03-29,0.415409537188716,-0.2370074653319285,-0.2538672122195998,-0.13039140746206343,-0.06751350180610186,1.422899666948683,1.0516757650405275,0.5125570101185885,0.009448446312073634,-0.07002622367978456,-0.2697617538635484,0.19212840574602708,,,81081513000.0,-78073643000.0,-0.9629031342816704,-1.6414161975137669,-0.06362400267076984,
HK,01024,2022,Q1,2022-03-31,2022-05-24,0.4168604927137229,-0.2678596857644657,-0.2968623914178573,-0.14619160581544316,-0.07043364828233573,1.2294669311582587,1.1019033262817803,0.5241971392544377,-0.15127925191057104,-0.03454109358521325,0.23781908346039393,-0.13766779395716622,,,85129063000.0,-26577300000.0,-0.3122000767235039,-0.6212628981833671,-0.06607659274310373,
HK,01024,2022,Q2,2022-06-30,2022-08-23,0.4503341783821157,-0.14100023046784974,-0.14639317815164785,-0.07859722562187395,-0.03829125168778849,1.2318427549497444,1.0028279054504698,0.5006620202911162,-0.10555427517861259,-0.010682005351190366,0.13355960287219282,0.029809654910523564,,,87685237000.0,-22718083000.0,-0.2590867491183265,-0.5622097906950437,0.03195521873707863,
HK,01024,2022,Q3,2022-09-30,2022-11-22,0.46277239709443097,-0.11297993773780698,-0.11730370114147354,-0.06699268787035036,-0.03315762764641684,1.2537450758635333,1.0375321701433515,0.5091609028597113,0.11717398823936354,-0.06627859002083247,0.12858175754552392,0.06605208573404009,,,90320260000.0,-18345042000.0,-0.2031110406458086,-0.4529980363709797,0.0023729268463863473,
HK,01024,2022,Q4,2022-12-31,2023-03-29,0.45509489979853673,-0.04393312833563072,-0.05467783550701587,-0.03844606139361331,-0.01797443835021519,1.1264830872779974,1.2420035149384885,0.5539207452943218,0.1258968649489273,-0.05936096026583672,0.158112930439545,0.2233223797993773,,,94183000000.0,-13690000000.0,-0.1453553189004385,-0.34022403392279654,0.1615841455745899,
HK,01024,2023,Q1,2023-03-31,2023-05-22,0.46444858627116625,-0.02767973985803228,-0.03461950271642146,-0.02194542552255502,-0.009982276599393974,1.1530317102295342,1.1544385995821902,0.5358106608413257,0.01403814886782726,-0.014030072608770225,0.1969905539469312,-0.10871947124730497,,,98333000000.0,-8309000000.0,-0.08449859152064922,-0.20887118060356205,0.15510492579954738,
HK,01024,2023,Q2,2023-06-30,2023-08-22,0.5022347174163783,0.04671280276816609,0.05334486735870819,0.035740159381791835,0.016645391307281796,1.2250470579607402,1.1401749866555269,0.532713827203331,0.1849769319492503,-0.041073627739319676,0.27882000460935696,0.10021017567513968,,,104382000000.0,-3653000000.0,-0.034996455327546895,-0.08821540690654431,0.19041703679263589,
HK,01024,2023,Q3,2023-09-30,2023-11-21,0.517138972377272,0.07911120652640619,0.07803778445684843,0.04903713196856767,0.022940387598937653,1.2072174825493864,1.1348770277341707,0.5315509441284301,0.22863890081580077,-0.04427147703068711,0.2084053960567278,0.007352941176470562,,0.47364864864864864,109202000000.0,1241000000.0,0.011364260727825497,0.027902375411734286,0.20905320688846563,
HK,01024,2023,Q4,2023-12-31,2024-03-20,0.5310647707379994,0.11123736985964805,0.11080740763490064,0.0760163072676899,0.03533496231949348,1.2374636106441428,1.1662963944316491,0.5383269361029578,0.27348668652682656,-0.05187619052282621,0.15085003357720983,0.16505653356232997,,0.6542870243007795,113470000000.0,6396000000.0,0.056367321759055254,0.1347561810654503,0.20478217937419707,
HK,01024,2024,Q1,2024-03-31,2024-05-22,0.5481501632208923,0.13581338411316649,0.1400639281828074,0.0812931111045324,0.038860873544132424,1.2908820180432687,1.0216359949496883,0.5052937336197028,0.1970892274211099,-0.015821724917093972,0.1661974065114804,-0.09683363533061029,,0.14162971175166295,117661000000.0,11388000000.0,0.09678653079610067,0.22475502531158412,0.19655659849694396,
HK,01024,2024,Q2,2024-06-30,2024-08-20,0.5531880548829702,0.12610169491525425,0.12845843422114608,0.07321134509057121,0.03529203068872234,1.234611007156774,1.1229242357111209,0.528894231170544,0.24561743341404357,-0.032187680163200144,0.11645761245674735,0.053284820457018434,1.6885135135135134,-0.033988832240835154,120892000000.0,13887000000.0,0.1148711246401747,0.2555129302017498,0.15816903297503404,
HK,01024,2024,Q3,2024-09-30,2024-11-20,0.5433169509492146,0.10018952169862838,0.10497574764703993,0.05695215356865889,0.025947422328439742,1.0790321451082008,1.2640474476327608,0.5582497445020629,0.24872313770839355,-0.03553081851890081,0.11389008158007718,0.005036319612590878,0.49839523154516274,-0.1786881125911033,124075000000.0,14974000000.0,0.1206850695144066,0.26095518590486483,0.13619713924653398,11.06607574536664
HK,01024,2024,Q4,2024-12-31,2025-03-25,0.5404420076870902,0.12061948903459191,0.11216934207551435,0.06596200827641223,0.029187257324391105,1.0508290432573377,1.255548029159409,0.5565691734645,0.2441781596201673,-0.03434962936816096,0.08669881146156455,0.13661623462143835,0.10005543237250558,0.2145042839657283,126898000000.0,15335000000.0,0.1208450881810588,0.254856990909242,0.11833964924649698,1.3975922451532208
HK,01024,2025,Q1,2025-03-31,2025-05-27,0.5456329735034348,0.1306121197252208,0.1219946025515211,0.062335952864116084,0.028218369605311693,1.0069007509640755,1.1645054626906608,0.537921180254943,0.10068081452404318,0.0049300570326022185,0.10881392818280733,-0.07845353832240565,-0.03423160961398397,0.0022675736961450532,130098000000.0,15194000000.0,0.11678888222724408,0.23809262639954243,0.10570197431604345,0.33421145064980684
HK,01024,2025,Q2,2025-06-30,2025-08-21,0.556525709068082,0.15091593905153228,0.14044398790161502,0.07221085216727918,0.0330768455361043,1.0547672801758294,1.199827430123345,0.5453487549746366,0.24248131027792044,-0.024031450556096904,0.13142857142857145,0.0747669283611383,0.23699421965317913,0.23730517848164911,134169000000.0,16137000000.0,0.1202736846812602,0.23674655047204066,0.10982529861363854,0.1620220349967596
HK,01024,2025,Q3,2025-09-30,2025-11-19,0.546605163975924,0.14904089553917985,0.1262305225853631,0.061770960216363524,0.028114135371315813,1.0107413031666643,1.1940628559941031,0.5441547416188749,0.21570006187770716,-0.019926707802173708,0.14207702932767985,0.014495234834217996,0.37331701346389234,-0.08817553839902481,138592000000.0,17357000000.0,0.1252381089817594,0.23889450901858772,0.11700181341930294,0.15914251369039678
HK,01024,2025,Q4,2025-12-31,2026-03-25,0.5514304488475535,0.1463303679741205,0.1321522442377679,0.06783288902726159,0.031861318872149526,1.1482786703190937,1.0673973704718571,0.5162184506151826,0.18363323898099473,-0.012411839078708851,0.11824553470495136,0.11289868931765756,0.31746031746031744,0.1651069518716577,142776000000.0,18617000000.0,0.13039306325993164,0.24150791643154118,0.1251241154312912,0.21402021519400072
HK,01024,2026,Q1,2026-03-31,2026-05-27,0.5115968679558667,0.10662593427452842,0.08610155415826314,0.03589489953632148,0.016423677704419062,1.1191624467486536,1.2992748686003504,0.564996561028517,0.0926859651204176,-0.0012559615743648058,0.033979391560353234,-0.14789729073999192,-0.2702362996480644,-0.44482692675463764,143884000000.0,17542000000.0,0.12191765588946651,0.21690262751159195,0.10596627157988592,0.1545346847439779
