country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,600487,600487,2016,Q2,2016-06-30,CNY,4723894441.93,4347074870.83,3645608662.93,32307950.769999996,171489442.28,359622064.01000005,72601218.21000001,423717254.12,24803340.41,2056964.0999999996,85268185.62,267658752.07,1241269065.0,852574307.12,2595830094.07,214587590.2,1863579060.69,4449067046.69,381762629.56,3503015944.4,11179069933.94,419895425.11,94572312.83,6117462891.5,1974526424.79,154132125.58,147826959.71,9817928065.6,1812955340.34,4911045133.11,5665649419.5,433438197.51,4855925683.07,2814092303.34,332719202.82,3235747759.54,5428879049.2699995,258543768.35999998,4567687451.1,222477886.39000002,168945322.43,194870924.45,575011101.43,268347575.82000002,-891181555.67,608159132.38,284414660.15,284414660.14999986
CN,600487,600487,2016,Q3,2016-09-30,CNY,5405354430.04,4828612345.81,4281485362.8499994,14190057.610000007,190003579.91000003,289915602.79999995,93030062.10999998,734052284.33,37268810.769999996,1898598.5899999999,55970415.08000001,665283707.69,1241269065.0,852574307.12,3316089325.16,214587590.2,1809280248.12,5136303748.81,866976674.73,4040591027.98,13204223681.17,472326672.76,91953433.09,6132206380.83,2330803957.97,180880787.27,169560351.21,10786926381.92,2018848335.55,5667926426.02,6530655344.53,618021846.11,5745083597.28,3694280277.25,511957276.75,3320678231.58,5736184484.690001,284749585.85,5585855461.110001,223283054.67999995,221933891.58000004,60103965.73000002,-48004543.54000001,114188871.93,388662.4199998379,228542806.4100001,174356215.20000002,174356215.20000005
CN,600487,600487,2016,Q4,2016-12-31,CNY,5846903877.690001,5666618109.399998,4805095446.85,59105500.980000004,234817180.49,453594074.16999996,90335858.97000003,236883282.3699999,149993383.8,1876697.5200000014,73305191.75,268670249.93000007,1241269065.0,838318065.92,3430881607.64,280137955.01,3104501528.48,4191664077.07,539037092.8,3933673390.92,13440927416.58,622027660.63,89752354.62,6293398606.58,1905428924.64,256577674.57,217137667.63,10552196722.16,2393542998.81,5849149657.04,6788586302.19,537305770.56,5147377251.78,3746420996.06,336784535.87,3500483257.99,6671194498.67,124193020.99000001,3162773119.84,495665485.72000015,370178604.9499999,435342434.53999996,2545497129.5499997,300198596.40999997,-109337740.16999984,-1487478124.1200001,964423305.99,964423305.9900002
CN,600487,600487,2017,Q1,2017-03-31,CNY,4577148468.51,4295030801.57,3579675676.83,32447863.73,215669053.94,352881765.44,82089626.51,303352321.82,105183218.08,7198787.92,75209672.87,277691962.21,1241269065.0,838318065.92,3708573569.85,280137955.01,2405430128.49,4818454789.95,745781747.87,4596418303.94,14531679335.42,626450723.7,92653281.51,6533039747.93,1830357007.93,108573076.55,246983169.04,11246481596.88,2755781748.1,6168444282.11,7062455738.37,602014009.08,5950404874.73,3981975807.25,422024089.49,3587141973.2,4728375697.61,248886755.05,4834765625.32,444061639.13,360057008.27,217554602.39,-830200667.07,287353078.0,-225174529.38,473950087.04,-575741725.42,1992907956.88
CN,600487,600487,2017,Q2,2017-06-30,CNY,6835998162.610001,6331935117.550001,5552637065.4,25174486.27,187261201.85000002,438303392.41,88486531.80999999,682199646.0699999,-93883858.82,2660721.8000000007,70715080.26999998,489728213.59999996,1241269065.0,617106467.02,4061607121.19,280137955.01,2000121810.47,5764767180.14,552666809.6,5669379793.92,16009468219.26,625698426.37,119114428.48,7103296564.96,2178715800.1,157832377.21,206495795.27,13278146265.04,2694633456.99,6241567569.11,7139985062.19,515063880.38,6772307302.03,4924787395.34,403459106.47,3498032897.07,7754585963.910001,223471276.69,6679545162.68,374050862.21000004,439597663.28999996,360661919.32000005,79464563.76000011,257209767.89,-568835916.62,-142141098.09000003,-630820265.11,-630820265.1100001
CN,600487,600487,2017,Q3,2017-09-30,CNY,7609929054.67,6619225641.569998,5865673234.390001,24659993.849999994,227029765.47999996,400653202.15,94888409.61000001,1084412638.4699998,4078538.76,1416839.4900000002,147927919.15000004,903458498.99,1359775587.0,3492427502.77,4965065620.24,280137955.01,3776232999.46,6445866903.48,2210134553.35,4552133925.29,19373110074.84,682080725.58,115965513.64,7636002162.63,2449175961.65,201366165.62,380936575.63,13120485222.42,2901789381.54,10153124188.81,10986837633.51,483175074.23,7933472188.69,5112033603.15,381323572.24,3421406022.4,6838788334.709999,79811107.22000003,6172109764.619999,244006184.42999995,280935810.8800001,992046830.78,-724485210.5700002,308192234.65,-414083428.5799999,3058244489.3700004,1898844084.98,1898844084.98
CN,600487,600487,2017,Q4,2017-12-31,CNY,6927193321.200001,6687879935.890003,5740428699.839998,35783008.02000001,286635002.90999997,468365941.03999996,122265741.00999999,443441237.33000016,47313856.900000006,-625265.4900000002,35833902.5,437949134.79999995,1359775587.0,3202741685.12,5332670697.52,350637077.58,3388821051.14,5382186597.99,2618205396.44,4889127072.55,19905121093.52,735375871.85,111910990.01,8323094780.86,2948204898.45,273612832.46,182139210.4,14292731290.34,2873028766.69,10346570897.45,11062455817.35,950830875.95,7258392649.69,5839486005.43,349635335.69,4128655752.26,7227966886.880001,359717146.2199999,5450455023.860001,395126694.25,17933057.839999914,-50420222.380000114,1769416095.69,1380291734.48,-2139837295.6800003,-214797084.5800004,-567873109.72,-567873109.7199998
CN,600487,600487,2018,Q1,2018-03-31,CNY,6327500644.44,5833935212.19,4991089466.98,23639745.92,235058853.76,434849155.08,75452545.49,558721993.09,11067915.0,6254216.96,72316433.23,481742024.82,1359775587.0,3202741685.12,5814412722.34,350637077.58,2052146191.47,6180210075.73,2930793851.14,5597842867.79,19607720447.83,715125522.33,155685405.53,9011841800.76,2623585157.7,121113574.42,160044123.15,14560840580.75,2751011272.86,10531912602.92,11307710394.98,988782036.18,7633559754.74,5811400222.67,321048931.01,4242407105.99,7352651748.63,91987497.65,7134856921.27,504094902.64,282124250.56,326150321.35,-779197171.93,593327016.45,-405806672.5,-115205403.03,-1303991125.31,1389067541.72
CN,600487,600487,2018,Q2,2018-06-30,CNY,8944308801.96,8162598020.79,7139882628.5,23767692.189999998,252608282.31,488093708.58,184052627.45,877013391.93,-3984488.5599999996,113166.78000000026,148840339.64,690011689.52,1903685822.0,3202741685.12,5740799100.47,350637077.58,4085396084.07,7812584879.53,2951286004.86,5715086526.34,23075384764.65,847235669.64,149948692.43,10517026132.14,3261609960.37,160712687.24,225683121.95,19257212060.98,2378732939.13,11051704912.93,11956465896.68,835910022.71,9078313105.28,7104198390.73,317250024.8,4358991972.77,9748530365.329998,126538883.75,7366946063.67,466678032.22,373894365.53000003,845839619.82,831317383.55,1493390163.33,-2075369171.4,2483839030.4900002,1249417223.69,1249417223.6899998
CN,600487,600487,2018,Q3,2018-09-30,CNY,8834286126.24,7865987202.619999,6888316464.900002,25024693.540000007,239487930.71999997,-291741931.85,155553781.58999997,1078515447.9,4068764.55,7110251.09,114343423.19999999,935193877.0900002,1903685822.0,3202741685.12,6677995044.72,350637077.58,4728957854.6,9011951091.35,3054521917.81,5690052208.13,25026738357.25,848209036.38,154594009.76,11551600075.54,,215669857.06,272294024.84,21366301294.05,2267276241.39,12009257696.47,12944760897.35,823238701.55,10323374288.32,8604772621.25,412955837.23,4625116100.88,8087059748.940002,8252506.849999994,6994178828.390001,234236283.29000008,259514666.14999998,319078303.71000004,299002569.45,369848203.6200001,-498060781.9899998,451563148.4000001,250547978.88,250547978.8800001
