country,code,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,net_assets,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,00763,2016,Q2,2016-06-30,HKD,25898793000.0,816887000.0,1336791000.0,1806927000.0,7547738000.0,779762000.0,1841652000.0,450619000.0,209589000.0,1114879000.0,0.19999999999999998,-2113928000.0,-1120914000.0,-5000246000.0,27931373000.0,135937450000.0,40108800000.0,110124579000.0,92004552000.0,81822270000.0,8630218000.0,4154242000.0
HK,00763,2016,Q3,2016-09-30,HKD,23806702000.0,1092490000.0,1478421000.0,996432000.0,7499346000.0,468788000.0,417817000.0,-462472000.0,245504000.0,2062415000.0,0.25999999999999995,-612291000.0,-1081584000.0,-1887155000.0,26913150000.0,132668231000.0,40945056000.0,106026561000.0,87090643000.0,78193610000.0,7533313000.0,4159606000.0
HK,00763,2016,Q4,2016-12-31,HKD,29669178000.0,-5216305000.0,-4953953000.0,-3983745000.0,7293945000.0,807493000.0,2791625000.0,1015374000.0,-124813000.0,-4990050000.0,-1.2599999999999998,1873397000.0,-1064113000.0,4589930000.0,32349914000.0,141640910000.0,35722478000.0,112852060000.0,100755820000.0,91747098000.0,7516241000.0,4184628000.0
HK,00763,2017,Q1,2017-03-31,HKD,25744612000.0,1213607000.0,1731938000.0,1716252000.0,8360401000.0,701954000.0,92481000.0,-15686000.0,414485000.0,1271455000.0,0.29,-971165000.0,-899446000.0,-1266132000.0,29249328000.0,141198258000.0,36597341000.0,112031695000.0,99491295000.0,90634117000.0,7674689000.0,4185897000.0
HK,00763,2017,Q2,2017-06-30,HKD,28265984000.0,1079260000.0,1555462000.0,2141085000.0,8304974000.0,796714000.0,1993038000.0,582116000.0,329699000.0,1492875000.0,0.26000000000000006,-5350026000.0,-484401000.0,4906148000.0,25907990000.0,144670317000.0,38127315000.0,115049905000.0,101492253000.0,93051111000.0,9449809000.0,4190015000.0
HK,00763,2017,Q3,2017-09-30,HKD,22569143000.0,1611785000.0,2003144000.0,2027596000.0,7561368000.0,693935000.0,-1991926000.0,27959000.0,252301000.0,2216651000.0,0.38,3150708000.0,-3003341000.0,-1335436000.0,26182073000.0,146028404000.0,40128112000.0,110639295000.0,101021792000.0,94575112000.0,8484191000.0,4192672000.0
HK,00763,2017,Q4,2017-12-31,HKD,32235534000.0,663520000.0,1428380000.0,2119851000.0,8471991000.0,1045134000.0,6857269000.0,563270000.0,336097000.0,723928000.0,0.16000000000000003,7630637000.0,335463000.0,-2187253000.0,30109269000.0,143962215000.0,40968202000.0,108259704000.0,98582068000.0,87594947000.0,10202425000.0,4192672000.0
HK,00763,2018,Q1,2018-03-31,HKD,27526342000.0,-5407237000.0,-5549832000.0,-5363840000.0,7710197000.0,653009000.0,25681000.0,185992000.0,-240670000.0,-5702245000.0,-1.29,-171149000.0,-582818000.0,-5503636000.0,26512303000.0,137876425000.0,32363195000.0,100795050000.0,100970825000.0,89952893000.0,8578076000.0,4192672000.0
HK,00763,2018,Q2,2018-06-30,HKD,11907435000.0,-2416953000.0,-2876011000.0,-2458258000.0,2586947000.0,735109000.0,2065570000.0,204219000.0,-324363000.0,-2974067000.0,-0.5800000000000001,-7301316000.0,498967000.0,-1298253000.0,15783286000.0,120709368000.0,29651430000.0,88034094000.0,87001180000.0,78991045000.0,10339687000.0,4192672000.0
HK,00763,2018,Q3,2018-09-30,HKD,19332409000.0,564467000.0,877042000.0,-35669000.0,8686296000.0,515194000.0,-1992451000.0,-699177000.0,328642000.0,550865000.0,0.14000000000000012,-2750429000.0,-2286506000.0,1755440000.0,15471830000.0,124214723000.0,30431714000.0,88177971000.0,89838782000.0,80604162000.0,8682777000.0,4192672000.0
HK,00763,2018,Q4,2018-12-31,HKD,26746964000.0,276061000.0,198598000.0,2313286000.0,7891362000.0,2202840000.0,4531611000.0,1317370000.0,-164472000.0,270861000.0,0.06000000000000005,309914000.0,-60985000.0,8097772000.0,24289798000.0,129350749000.0,29149940000.0,92847653000.0,96390074000.0,88115349000.0,8898068000.0,4192672000.0
HK,00763,2019,Q1,2019-03-31,HKD,22201814000.0,862604000.0,1387264000.0,2144960000.0,8874497000.0,1260874000.0,40064000.0,757696000.0,277958000.0,983271000.0,0.21,1259978000.0,-2101713000.0,6411477000.0,29856655000.0,139875707000.0,29711131000.0,101887203000.0,106876140000.0,98150704000.0,9095589000.0,4192672000.0
HK,00763,2019,Q2,2019-06-30,HKD,22407405000.0,608095000.0,850213000.0,1157779000.0,7676419000.0,1506080000.0,1778389000.0,65357000.0,134956000.0,892369000.0,0.13999999999999999,-1885045000.0,-2536152000.0,4276089000.0,29508813000.0,140742648000.0,30596942000.0,101982886000.0,106926016000.0,96975501000.0,8993841000.0,4192672000.0
HK,00763,2019,Q3,2019-09-30,HKD,19631479000.0,2657151000.0,3578640000.0,3053512000.0,8096449000.0,753573000.0,-1674872000.0,-282919000.0,585258000.0,3007108000.0,0.63,3530295000.0,1292456000.0,-1989905000.0,32746991000.0,147159353000.0,33930570000.0,107946170000.0,109932036000.0,92791396000.0,9143831000.0,4225959000.0
HK,00763,2019,Q4,2019-12-31,HKD,26495884000.0,1020027000.0,1345553000.0,3408609000.0,7211243000.0,1768562000.0,6672566000.0,1178053000.0,386829000.0,943362000.0,0.24,1998132000.0,-2774765000.0,-335690000.0,28505800000.0,141202135000.0,35079232000.0,102567174000.0,103247837000.0,86370516000.0,10555204000.0,4227530000.0
HK,00763,2020,Q1,2020-03-31,HKD,21484493000.0,779988000.0,1028454000.0,1924129000.0,8451254000.0,1045768000.0,18868000.0,895675000.0,219305000.0,1009017000.0,0.18,372361000.0,-1773229000.0,5349785000.0,37912470000.0,145654417000.0,41265986000.0,107134753000.0,101649496000.0,78040021000.0,9917567000.0,4612006000.0
HK,00763,2020,Q2,2020-06-30,HKD,25714880000.0,1077301000.0,1812517000.0,1549675000.0,7329816000.0,1219358000.0,36791000.0,-262842000.0,298285000.0,1198859000.0,0.22000000000000003,1668409000.0,-5874693000.0,8580552000.0,45867997000.0,165432364000.0,41156116000.0,125253250000.0,121155569000.0,91984863000.0,10314505000.0,4613435000.0
HK,00763,2020,Q3,2020-09-30,HKD,26930051000.0,854760000.0,1114032000.0,1167468000.0,8042961000.0,1355354000.0,44310000.0,53436000.0,222660000.0,862044000.0,0.18999999999999995,1828128000.0,3030002000.0,-2746162000.0,43547649000.0,165268109000.0,41905884000.0,123444715000.0,120511299000.0,89699615000.0,11925683000.0,4613435000.0
HK,00763,2020,Q4,2020-12-31,HKD,27321246000.0,1547703000.0,1109163000.0,843431000.0,8247424000.0,1374516000.0,137790000.0,-265732000.0,-397776000.0,1356442000.0,0.33000000000000007,6363753000.0,-2464194000.0,-11474080000.0,35659832000.0,150634906000.0,43296808000.0,106977275000.0,104512400000.0,74394975000.0,11913942000.0,4613435000.0
HK,00763,2021,Q1,2021-03-31,HKD,26241647000.0,2181649000.0,2534090000.0,2912780000.0,9298743000.0,1249195000.0,15655000.0,378690000.0,450103000.0,1932408000.0,0.47,2388242000.0,-4596831000.0,2843351000.0,40618476000.0,155551952000.0,45826894000.0,112629539000.0,107050313000.0,76197846000.0,11616035000.0,4613435000.0
HK,00763,2021,Q2,2021-06-30,HKD,26829323000.0,1896964000.0,2992886000.0,3094898000.0,9879445000.0,1294343000.0,127519000.0,102012000.0,526247000.0,2630666000.0,0.41000000000000003,4640193000.0,-2084606000.0,5945833000.0,50050246000.0,165902117000.0,46948087000.0,123609938000.0,115735900000.0,83815615000.0,11613744000.0,4613435000.0
HK,00763,2021,Q3,2021-09-30,HKD,30754199000.0,1774294000.0,2126137000.0,2436347000.0,11686991000.0,1535901000.0,83390000.0,310210000.0,486300000.0,1839047000.0,0.38,4142743000.0,-4840006000.0,1811603000.0,54548333000.0,176587614000.0,49621103000.0,134843806000.0,123931638000.0,86457069000.0,11579266000.0,4642469000.0
HK,00763,2021,Q4,2021-12-31,HKD,30696472000.0,960034000.0,845813000.0,1017807000.0,9496616000.0,1365174000.0,23527000.0,171994000.0,386000.0,609024000.0,0.20999999999999996,4552349000.0,929005000.0,-7822273000.0,50713310000.0,168763425000.0,51482089000.0,127871085000.0,115475765000.0,78685256000.0,11437011000.0,4730796000.0
HK,00763,2022,Q1,2022-03-31,HKD,27930271000.0,2216659000.0,2441061000.0,2494137000.0,10552162000.0,1275734000.0,57419000.0,53076000.0,406406000.0,1889930000.0,0.47,1187207000.0,-4096960000.0,8167826000.0,59215597000.0,179243960000.0,53736805000.0,138588253000.0,123928190000.0,81149546000.0,11469828000.0,4733877000.0
HK,00763,2022,Q2,2022-06-30,HKD,31888029000.0,2349167000.0,2770648000.0,3021317000.0,11603244000.0,1256962000.0,41894000.0,250669000.0,258651000.0,2652265000.0,0.49,2312427000.0,3134690000.0,-5975257000.0,54926295000.0,179724762000.0,54954923000.0,138483067000.0,123012212000.0,84661749000.0,11456642000.0,4735829000.0
HK,00763,2022,Q3,2022-09-30,HKD,32740713000.0,2254165000.0,2299877000.0,2300607000.0,12485584000.0,1368903000.0,45958000.0,730000.0,156284000.0,2110262000.0,0.48,223381000.0,-6006168000.0,-2073467000.0,52196024000.0,181163386000.0,57310985000.0,139298333000.0,122694387000.0,83337953000.0,11464779000.0,4736113000.0
HK,00763,2022,Q4,2022-12-31,HKD,30395405000.0,1260304000.0,1240070000.0,1098802000.0,11085859000.0,1431129000.0,50533000.0,-141268000.0,138705000.0,1071986000.0,0.27,3854685000.0,5677039000.0,1335726000.0,56346367000.0,180953574000.0,58641187000.0,137873843000.0,121410351000.0,78423500000.0,12913313000.0,4736113000.0
HK,00763,2023,Q1,2023-03-31,HKD,29142882000.0,2642269000.0,3089384000.0,2907849000.0,12967043000.0,1317554000.0,25822000.0,-181535000.0,475595000.0,2484665000.0,0.56,2325584000.0,-5084123000.0,5516541000.0,63435639000.0,183993400000.0,61166176000.0,141533786000.0,122069942000.0,76327486000.0,12778439000.0,4736588000.0
HK,00763,2023,Q2,2023-06-30,HKD,31561912000.0,2829884000.0,2969954000.0,2337737000.0,13268541000.0,1198217000.0,49781000.0,-632217000.0,191491000.0,2856156000.0,0.5899999999999999,4100313000.0,3577686000.0,-2798493000.0,63333440000.0,186187171000.0,63567319000.0,144999182000.0,122091375000.0,74101669000.0,12616579000.0,4775316000.0
HK,00763,2023,Q3,2023-09-30,HKD,28688649000.0,2369013000.0,2402038000.0,2328495000.0,12803824000.0,1292439000.0,29286000.0,-73543000.0,37475000.0,2364542000.0,0.5,2836118000.0,-2813066000.0,1499356000.0,66958331000.0,189057761000.0,66272222000.0,147766170000.0,122262312000.0,74017531000.0,12800635000.0,4783249000.0
HK,00763,2023,Q4,2023-12-31,HKD,34857435000.0,1484587000.0,1741764000.0,1527867000.0,12508868000.0,1823569000.0,68174000.0,-213897000.0,257730000.0,1684739000.0,0.31000000000000005,8143684000.0,-16581850000.0,3154186000.0,78543219000.0,200958318000.0,68008307000.0,158504553000.0,132626873000.0,83030414000.0,13372364000.0,4783252000.0
HK,00763,2024,Q1,2024-03-31,HKD,30578301000.0,2740979000.0,3206793000.0,3143000000.0,12834737000.0,1136834000.0,8726000.0,-63793000.0,445608000.0,2709941000.0,0.57,2982601000.0,-15060862000.0,5958678000.0,86879154000.0,208466634000.0,70867087000.0,166076857000.0,137217281000.0,84944336000.0,13362874000.0,4783252000.0
HK,00763,2024,Q2,2024-06-30,HKD,31908797000.0,2991467000.0,3070390000.0,3180488000.0,12454008000.0,1099816000.0,26352000.0,110098000.0,121185000.0,3034563000.0,0.63,4017798000.0,3677465000.0,-4921471000.0,70943466000.0,205507776000.0,70395332000.0,151621510000.0,134747078000.0,79579718000.0,13578251000.0,4783252000.0
HK,00763,2024,Q3,2024-09-30,HKD,27557444000.0,2173957000.0,2247174000.0,2034974000.0,11119853000.0,995277000.0,21354000.0,-212200000.0,110503000.0,1873620000.0,0.44999999999999996,1048666000.0,-10013779000.0,-7034132000.0,46784398000.0,199694343000.0,72315851000.0,140002948000.0,127058767000.0,73501731000.0,14174617000.0,4783252000.0
HK,00763,2024,Q4,2024-12-31,HKD,31254210000.0,518389000.0,705248000.0,606573000.0,9579088000.0,1245094000.0,19847000.0,-98675000.0,196696000.0,472186000.0,0.1100000000000001,3430779000.0,-7275243000.0,178550000.0,43885348000.0,207323230000.0,72808483000.0,141787346000.0,134212948000.0,82635473000.0,14178419000.0,4783535000.0
HK,00763,2025,Q1,2025-03-31,HKD,32968196000.0,2453172000.0,2928391000.0,2588386000.0,11298654000.0,943882000.0,16642000.0,-340005000.0,464274000.0,2428225000.0,0.51,1851253000.0,-1383661000.0,4909628000.0,44000861000.0,217918283000.0,72283277000.0,151359279000.0,145350129000.0,94264742000.0,13991737000.0,4783535000.0
HK,00763,2025,Q2,2025-06-30,HKD,38584538000.0,2604399000.0,2735915000.0,2631223000.0,11920863000.0,1186200000.0,80445000.0,-104692000.0,143449000.0,2532956000.0,0.55,-551845000.0,-6284068000.0,-826906000.0,39470343000.0,216310325000.0,74838209000.0,146454122000.0,141200521000.0,83516620000.0,13812275000.0,4783535000.0
HK,00763,2025,Q3,2025-09-30,HKD,28966865000.0,264414000.0,238843000.0,292799000.0,7488607000.0,753862000.0,57181000.0,53956000.0,-49251000.0,141596000.0,0.050000000000000044,478070000.0,3127249000.0,-2499512000.0,35546691000.0,214657778000.0,75091417000.0,143388213000.0,139274683000.0,78804131000.0,13644389000.0,4783535000.0
HK,00763,2025,Q4,2025-12-31,HKD,33375861000.0,295760000.0,399718000.0,563805000.0,9796018000.0,1335816000.0,46461000.0,164087000.0,179322000.0,254367000.0,0.05999999999999983,2141268000.0,-2335751000.0,-1053167000.0,33751116000.0,217739375000.0,75425601000.0,143933862000.0,142098134000.0,81981121000.0,13421946000.0,4783535000.0
HK,00763,2026,Q1,2026-03-31,HKD,34988057000.0,1310444000.0,1502233000.0,1843207000.0,9893278000.0,1137211000.0,5758000.0,340974000.0,184003000.0,1386074000.0,0.27,-1978648000.0,-5689949000.0,2704475000.0,28834201000.0,225724240000.0,76814128000.0,149265297000.0,148686760000.0,90065318000.0,13240586000.0,4783535000.0
