country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income_attr_parent,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,fixed_assets,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,total_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,TSLA,TSLA,2016,Q2,2016-06-30,USD,1270017000.0,995241000.0,321152000.0,512816000.0,-243171000.0,183232000.0,-44126000.0,-289539000.0,-293188000.0,2099745000.0,2099745000.0,3246301000.0,0.0,5203705000.0,6526976000.0,6665247000.0,3766404000.0,5582254000.0,148000.0,-2897778000.0,2520294000.0,159484000.0,706843000.0,33496000.0,150336000.0,-319854000.0,1976584000.0,1804512000.0,1441789000.0,-294720000.0
US,TSLA,TSLA,2016,Q3,2016-09-30,USD,2298436000.0,1661701000.0,336811000.0,551113000.0,76724000.0,280468000.0,-43855000.0,30011000.0,21878000.0,2234865000.0,2354025000.0,3084257000.0,0.0,5172412000.0,7258345000.0,7419985000.0,4082390000.0,5829519000.0,150000.0,-2875900000.0,2680488000.0,-35721000.0,-799237000.0,67481000.0,423649000.0,-268006000.0,-320870000.0,-162044000.0,3246301000.0,-247611000.0
US,TSLA,TSLA,2016,Q4,2016-12-31,USD,2284631000.0,1849353000.0,456016000.0,701976000.0,-143295000.0,326939000.0,-62925000.0,-208399000.0,-121337000.0,2325360000.0,2325360000.0,3393216000.0,0.0,6259796000.0,15033337000.0,16400700000.0,5827005000.0,10931946000.0,161000.0,-2997237000.0,4752911000.0,-546595000.0,-153004000.0,-96797000.0,-448209000.0,-594751000.0,1372827000.0,308959000.0,3084257000.0,-681281000.0
US,TSLA,TSLA,2017,Q1,2017-03-31,USD,2696270000.0,2028324000.0,603455000.0,925495000.0,-272557000.0,376602000.0,-96256000.0,-371903000.0,-330277000.0,2431935000.0,2431935000.0,4006593000.0,0.0,7027889000.0,16555136000.0,18025837000.0,6245439000.0,12647197000.0,161000.0,-3343187000.0,4987719000.0,-262780000.0,-381239000.0,109831000.0,-69811000.0,-881719000.0,1598749000.0,658862000.0,3766900000.0,-772572000.0
US,TSLA,TSLA,2017,Q2,2017-06-30,USD,2789557000.0,2122942000.0,537757000.0,907531000.0,-277339000.0,389171000.0,-103656000.0,-385780000.0,-336397000.0,2478180000.0,2478180000.0,3035924000.0,0.0,6359444000.0,18218554000.0,19684261000.0,6546355000.0,12915235000.0,163000.0,-3679584000.0,5105752000.0,-596540000.0,-312854000.0,292582000.0,-200172000.0,-1157912000.0,428767000.0,-913024000.0,4425762000.0,-1157912000.0
US,TSLA,TSLA,2017,Q3,2017-09-30,USD,2984675000.0,2535535000.0,652998000.0,984620000.0,-554339000.0,400624000.0,-111578000.0,-671448000.0,-619376000.0,2509410000.0,2509410000.0,3530030000.0,0.0,7068733000.0,19516596000.0,21038341000.0,6468940000.0,15460474000.0,168000.0,-4298960000.0,4711480000.0,-249768000.0,-249768000.0,113884000.0,-300562000.0,-1244727000.0,2101506000.0,564017000.0,3512738000.0,-1244727000.0
US,TSLA,TSLA,2017,Q4,2017-12-31,USD,3288249000.0,2849463000.0,682290000.0,1036927000.0,-633538000.0,469606000.0,-140083000.0,-779901000.0,-675350000.0,2524710000.0,2524710000.0,3367914000.0,0.0,6570520000.0,20491712000.0,22084948000.0,7674670000.0,15348380000.0,169000.0,-4974299000.0,4237242000.0,497038000.0,175910000.0,179706000.0,509891000.0,-961876000.0,285842000.0,-162116000.0,3530030000.0,-906143000.0
US,TSLA,TSLA,2018,Q1,2018-03-31,USD,3408751000.0,2952225000.0,686404000.0,1053500000.0,-629476000.0,416233000.0,-144332000.0,-779022000.0,-709551000.0,2537190000.0,2537190000.0,2665673000.0,0.0,6383920000.0,19180724000.0,20887509000.0,8650359000.0,12900664000.0,170000.0,-5051292000.0,4450695000.0,-325426000.0,165797000.0,153805000.0,-398376000.0,-728637000.0,371660000.0,-745251000.0,3964959000.0,-728637000.0
US,TSLA,TSLA,2018,Q2,2018-06-30,USD,4002231000.0,3383301000.0,750759000.0,1240322000.0,-565417000.0,485255000.0,-158518000.0,-728999000.0,-717539000.0,2549955000.0,2549955000.0,2236424000.0,0.0,6699797000.0,19591426000.0,21210203000.0,9141362000.0,13501525000.0,170000.0,-5768831000.0,3906421000.0,-166989000.0,-95884000.0,97432000.0,-129664000.0,-682817000.0,398622000.0,-436470000.0,3219708000.0,-677213000.0
US,TSLA,TSLA,2018,Q3,2018-09-30,USD,6824000000.0,5300000000.0,730000000.0,1108000000.0,446000000.0,502512000.0,-168000000.0,271000000.0,311000000.0,2563395000.0,2563395000.0,2967504000.0,0.0,7920491000.0,19733969000.0,21342222000.0,9775324000.0,13633820000.0,171000.0,-5457315000.0,4508838000.0,351415000.0,351415000.0,20267000.0,1391040000.0,-560546000.0,-84282000.0,739728000.0,2783238000.0,-559150000.0
