country,code,symbol,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,fcf_margin,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,eps_yoy,revenue_ttm,net_income_ttm,eps_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy,eps_basic
CN,300750,300750,2016,Q2,2016-06-30,2016-10-01,,,0.19239424502086658,0.22844464841464457,,,,,,,,,0.2917872569597124,,0.08864824343947042,,,,,,,,,
CN,300750,300750,2016,Q4,2016-12-31,2018-05-22,0.4370044840317482,0.2158830512610608,0.19166773811880056,0.1841233486189931,0.0997547943868383,2.137061768908172,0.826230715464884,0.4476372809612685,0.1417520558614239,-0.046487860384200344,0.025978960617655155,1.6090277861065814,,2.0643448419960437,,1.3512127551880893,,,,,,,,4.649796272136422
CN,300750,300750,2017,Q2,2017-06-30,2017-11-10,0.3741425805618975,0.4837296891496256,0.38605444797870314,0.0825571541219374,0.04570591256908378,1.8576031456366573,0.783300722914866,0.43365683734650046,-0.16804250443467322,-0.48199760906379596,0.06560086794596043,0.7942133487833398,,2.6002326568835152,,,,,,,,,,0.9557229083532846
CN,300750,300750,2017,Q4,2017-12-31,2018-05-22,0.3717234528556627,0.1917303569147583,0.16290194778163375,0.05292989749792334,0.0263263933334269,1.846451542194278,0.9388783432668514,0.46698145519834217,0.507616823921681,0.26945103953050364,-0.055708968129167966,-0.4605841155191356,,-0.5415404850668175,,-0.8561864856677893,,,,,,,,0.6687035428247512
CN,300750,300750,2018,Q1,2018-03-31,2018-05-22,0.3276180956551488,0.14545830501995935,0.11136506292507396,0.016587210719314644,0.008480123196195805,2.052780020064329,0.8291099871361358,0.4358136432598784,-0.8809672813478405,-1.3302595280163163,0.07556320007348945,,-0.5375455632249202,,-0.6838511254606197,,,,,,,,,0.2114098724645414
CN,300750,300750,2018,Q2,2018-06-30,2018-08-24,0.30312175167786015,0.11967265426931217,0.08810418990850158,0.01778544231653314,0.00963727092295008,2.3486737489009113,0.7339586456683593,0.4079750547232756,0.7663256016429175,0.6178051039348934,-0.07418720378018633,0.16685503010459768,0.521682481196682,-0.7337038396881854,0.20384794640660253,-0.7603334597644892,,,,,,,,0.22905480286885188
CN,300750,300750,2018,Q3,2018-09-30,2018-10-26,0.31273777943960623,0.18983920104964955,0.15011192919603727,0.04650006380905675,0.024616103549770733,2.069767028231602,0.9059246413657992,0.45872808568948087,0.46490845650896206,0.3117755062295492,-0.05162190609997003,,0.7309574935592855,,1.949205582440169,,27161884667.25,3685944674.6099997,1.6792325539697315,0.13570283210333586,0.11679136124319707,,,0.6685804504602104
CN,300750,300750,2018,Q4,2018-12-31,2019-04-25,0.3554571716982946,0.10469827649706734,0.09627706942463224,0.030917891692429665,0.014651028713966221,1.7343259956330996,1.174424784002557,0.523573282374227,0.5453602563161419,0.2947003646951598,-0.0683395403020401,0.3051822448911192,0.0714989822885943,-0.22862112261774337,-0.31277425812375037,-0.3129007599831296,29611265434.22,3387035207.64,1.5430561997549541,0.11438333208569337,0.10383374616923358,,,0.4594656960714753
CN,300750,300750,2019,Q1,2019-03-31,2019-04-27,0.2870929973103164,0.13235265777882327,0.10491368157898717,0.031184048423468915,0.013257377382448634,1.5680090243187625,1.3762011079357364,0.560067631160177,0.49858977805225024,0.29623619009934804,-0.049746729872080134,1.6893374240023755,-0.0471092994228447,1.5335440285259594,0.03837052932099616,1.2567330109647474,35881479869.83,4020921275.37,1.831840273963204,0.11206118838902421,0.11973321752145008,,,0.4770956380345778
CN,300750,300750,2019,Q2,2019-06-30,2019-08-24,0.30844192344581256,0.14505217015863112,0.10262624932262251,0.030672743462523046,0.01212946143665818,1.5119626873569525,1.498742200361096,0.5765216466878615,0.22363881330853722,-0.029546510127884406,-0.014302551617217905,0.8204849074805738,0.03006783985976491,1.120552248391364,0.007609278043257062,1.0992853158035811,40515528936.53999,4578516062.34,2.0864118546329484,0.11300644919411987,0.13308888708696037,,,0.48085138417686474
