country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income_attr_parent,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,fixed_assets,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,total_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MU,MU,2016,Q4,2016-09-01,USD,3217000000.0,2638000000.0,154000000.0,611000000.0,18000000.0,714000000.0,-126000000.0,-167000000.0,-170000000.0,1000400160.0,1037000000.0,4140000000.0,258000000.0,9495000000.0,14686000000.0,18045000000.0,4835000000.0,9777000000.0,109000000.0,5299000000.0,12080000000.0,487000000.0,190000000.0,6000000.0,896000000.0,-1426000000.0,42000000.0,-487000000.0,4627000000.0,-1969000000.0
US,MU,MU,2017,Q1,2016-12-01,USD,3970000000.0,2959000000.0,159000000.0,652000000.0,359000000.0,771000000.0,-132000000.0,211000000.0,180000000.0,1040000000.0,1091000000.0,4139000000.0,30000000.0,9504000000.0,15321000000.0,18332000000.0,5546000000.0,9122000000.0,110000000.0,5469000000.0,12320000000.0,43000000.0,6000000.0,96000000.0,1138000000.0,-890000000.0,-212000000.0,-1000000.0,4140000000.0,-1288000000.0
US,MU,MU,2017,Q2,2017-03-02,USD,4648000000.0,2944000000.0,187000000.0,660000000.0,1044000000.0,1003000000.0,-153000000.0,932000000.0,894000000.0,1099000000.0,1160000000.0,3633000000.0,265000000.0,9945000000.0,19098000000.0,22410000000.0,5207000000.0,12013000000.0,111000000.0,6247000000.0,14287000000.0,-495000000.0,-258000000.0,26000000.0,1405000000.0,-4476000000.0,2553000000.0,-506000000.0,4139000000.0,-1173000000.0
US,MU,MU,2017,Q3,2017-06-01,USD,5566000000.0,2957000000.0,204000000.0,646000000.0,1963000000.0,1021000000.0,-143000000.0,1739000000.0,1647000000.0,1106000000.0,1177000000.0,4048000000.0,282000000.0,11023000000.0,19014000000.0,22244000000.0,5143000000.0,11105000000.0,111000000.0,7893000000.0,16171000000.0,-429000000.0,90000000.0,113000000.0,2407000000.0,-873000000.0,-1134000000.0,415000000.0,3633000000.0,-1269000000.0
US,MU,MU,2017,Q4,2017-08-31,USD,6138000000.0,3026000000.0,180000000.0,610000000.0,2511000000.0,1066000000.0,-132000000.0,2322000000.0,2368000000.0,1109000000.0,1187000000.0,5109000000.0,319000000.0,12457000000.0,19431000000.0,22879000000.0,5334000000.0,10532000000.0,112000000.0,10260000000.0,18621000000.0,-277000000.0,41000000.0,-110000000.0,3203000000.0,-1298000000.0,-858000000.0,5109000000.0,4048000000.0,-1523000000.0
US,MU,MU,2018,Q1,2017-11-30,USD,6803000000.0,3056000000.0,191000000.0,650000000.0,3103000000.0,1090000000.0,-101000000.0,2792000000.0,2678000000.0,1134000000.0,1225000000.0,6008000000.0,166000000.0,13358000000.0,20723000000.0,23833000000.0,5583000000.0,8215000000.0,116000000.0,12938000000.0,22526000000.0,-407000000.0,12000000.0,29000000.0,3636000000.0,-1434000000.0,-1282000000.0,914000000.0,5216000000.0,-2089000000.0
US,MU,MU,2018,Q2,2018-03-01,USD,7351000000.0,3081000000.0,196000000.0,703000000.0,3574000000.0,1151000000.0,-61000000.0,3454000000.0,3309000000.0,1156000000.0,1238000000.0,7828000000.0,214000000.0,15836000000.0,21864000000.0,25427000000.0,6135000000.0,8562000000.0,116000000.0,16247000000.0,25697000000.0,47000000.0,227000000.0,-236000000.0,4348000000.0,-2409000000.0,-138000000.0,1811000000.0,6130000000.0,-2281000000.0
US,MU,MU,2018,Q3,2018-05-31,USD,7797000000.0,3074000000.0,211000000.0,770000000.0,3961000000.0,1233000000.0,-44000000.0,3714000000.0,3823000000.0,1159000000.0,1235000000.0,6808000000.0,263000000.0,15499000000.0,22705000000.0,26346000000.0,5883000000.0,6444000000.0,117000000.0,20070000000.0,28649000000.0,-1080000000.0,-294000000.0,69000000.0,4261000000.0,-2244000000.0,-3023000000.0,-1014000000.0,7941000000.0,-2428000000.0
US,MU,MU,2018,Q4,2018-08-30,USD,8440000000.0,3289000000.0,215000000.0,774000000.0,4288000000.0,1285000000.0,-16000000.0,4346000000.0,4325000000.0,1159000000.0,1216000000.0,6506000000.0,296000000.0,16039000000.0,23672000000.0,27337000000.0,5754000000.0,4458000000.0,117000000.0,24395000000.0,32294000000.0,-476000000.0,-323000000.0,-26000000.0,5155000000.0,-2129000000.0,-3333000000.0,-340000000.0,6927000000.0,-2287000000.0
US,MU,MU,2019,Q1,2018-11-29,USD,7913000000.0,3298000000.0,209000000.0,856000000.0,3792000000.0,1335000000.0,5000000.0,3773000000.0,3293000000.0,1133000000.0,1174000000.0,4447000000.0,1116000000.0,15039000000.0,24807000000.0,29556000000.0,5189000000.0,4667000000.0,117000000.0,27769000000.0,33869000000.0,-78000000.0,65000000.0,210000000.0,4810000000.0,-4427000000.0,-2435000000.0,-2062000000.0,6587000000.0,-2720000000.0
US,MU,MU,2019,Q2,2019-02-28,USD,5835000000.0,2971000000.0,209000000.0,907000000.0,2008000000.0,1313000000.0,31000000.0,1905000000.0,1619000000.0,1114000000.0,1141000000.0,6353000000.0,1180000000.0,16550000000.0,26204000000.0,30937000000.0,7361000000.0,4696000000.0,118000000.0,29364000000.0,34567000000.0,218000000.0,-1000000.0,139000000.0,3435000000.0,-2492000000.0,952000000.0,1904000000.0,4525000000.0,-2666000000.0
US,MU,MU,2019,Q3,2019-05-30,USD,4788000000.0,2960000000.0,206000000.0,818000000.0,1019000000.0,1360000000.0,23000000.0,716000000.0,840000000.0,1105000000.0,1129000000.0,5157000000.0,1532000000.0,15066000000.0,27138000000.0,31222000000.0,5397000000.0,4701000000.0,118000000.0,30201000000.0,35323000000.0,240000000.0,-39000000.0,-115000000.0,2711000000.0,-2066000000.0,-1847000000.0,-1195000000.0,6429000000.0,-2420000000.0
US,MU,MU,2019,Q4,2019-08-29,USD,4870000000.0,3475000000.0,212000000.0,745000000.0,571000000.0,1416000000.0,18000000.0,657000000.0,561000000.0,1104000000.0,1128000000.0,7152000000.0,803000000.0,16503000000.0,28240000000.0,32384000000.0,6390000000.0,5727000000.0,118000000.0,30761000000.0,35881000000.0,189000000.0,-185000000.0,-35000000.0,2233000000.0,-1100000000.0,892000000.0,2045000000.0,5234000000.0,-2049000000.0
