country,code,symbol,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,revenue_ttm,net_income_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy
HK,01888,01888,2016,Q2,2016-06-30,2016-08-15,0.1906475092693975,0.14323277822183095,0.11168578812908313,0.06399468663012146,0.036352572580813425,2.546745230167497,0.6992888415655433,0.3947857880064422,0.1924558609456786,-0.026289825980627894,0.2428992683768867,0.16368775944799463,0.4660753584047417,0.2590956366538979,11954744871.51,1288415679.0,0.10777441868044321,0.11482060069665748,0.1336092560664328,0.42266624495618665
HK,01888,01888,2016,Q4,2016-12-31,2017-03-24,0.2507913047058872,0.47508538974737713,0.42471532297456593,0.2609185738770695,0.14686213644149781,1.9506788743971342,0.7160967512953264,0.40200243880533215,0.5360291020721547,-0.03849114578479149,0.3508551823257715,0.16083990001455484,4.558160232926663,3.414406714725594,13893279751.71,3888042280.11,0.27985057161405363,0.3200247212573497,0.29865388057775943,2.667516959653054
HK,01888,01888,2017,Q2,2017-06-30,2017-08-18,0.31701833289082,0.28079104342655187,0.22234286967120503,0.12982392711482307,0.07583137084198448,2.930646480491951,0.6161345752450506,0.3738496522708481,0.10870035102615692,0.03875846339274727,0.21969186972710641,0.050697748855646374,1.4281494984512197,-0.4499488480861108,15305804856.079998,4913585044.97,0.3210275507346583,0.3658454801342177,0.2803121288314643,2.8136644291566406
HK,01888,01888,2017,Q4,2017-12-31,2018-03-23,0.27432760592074973,0.23191999264964536,0.1874213114070121,0.09820252681208021,0.05984160961940331,2.489604576471821,0.604711722563287,0.3700117854846358,0.24414691942635114,-0.018111876739272347,0.0030913061950885723,-0.045309360101330576,-0.5573489396347618,-0.195254734355078,15328877456.32,3146816631.4,0.20528682810381443,0.22023185833400075,0.10333036765010828,-0.19064238382948584
HK,01888,01888,2018,Q2,2018-06-30,2018-08-24,0.28011633286109033,0.2288626516374991,0.1836594976601255,0.10272173737223227,0.06080407098838697,2.8834753283252605,0.7271327240866253,0.4168111982101558,0.03608848566955933,0.04885627154173912,0.04115192857191463,0.09056471809802424,-0.13998843105625025,0.06867552461403714,15651594953.04,2902727932.88,0.1854589223391706,0.19884234180858001,0.022592088440396063,-0.40924438952135356
HK,01888,01888,2018,Q4,2018-12-31,2019-03-20,0.25792496805335396,0.21597426987098028,0.13586257409748778,0.09011787755314132,0.053273079162092195,2.5882511040820706,0.6216574325360643,0.37876321633845245,0.28178200298181766,-0.057216472879899075,0.32567198068328773,0.21558304489741542,-0.03901425962486338,-0.10076939328969259,18089828931.2,2847983832.2,0.1574356420412582,0.1903345259641905,0.1801143940740213,-0.0949635247945958
HK,01888,01888,2019,Q2,2019-06-30,2019-08-09,0.24227017436268383,0.18397661186546843,0.14179711762994646,0.06100578699005869,0.03820267720619304,2.4680427143892123,0.5510993598957132,0.35462762535017567,0.1509867360657929,-0.002475847412278986,-0.1778285511365153,-0.32364024628784716,-0.3652299873855628,-0.2940965222073093,16637891448.400002,2300304632.2999997,0.1382569804253177,0.14742806554408902,0.06301571809896811,-0.20753694955568702
HK,01888,01888,2019,Q4,2019-12-31,2020-03-23,0.23857531334226295,0.19012440179064868,0.12301444675096072,0.07356426121797648,0.05023050389822745,2.7648701002734732,0.37719548812919146,0.273380818194787,0.1411250904019736,-0.0073951213092335885,-0.017119870274219906,0.4531913295126029,-0.11006797726376183,0.2606993034217533,16467976522.560001,2151884817.66,0.1306708698978326,0.13191621002790324,-0.0896554862297646,-0.24441817634978635
HK,01888,01888,2020,Q2,2020-06-30,2020-08-28,0.23960021240919177,0.15882728385785622,0.10764621677342211,0.04140721623318264,0.030642561032332157,3.1699485729144956,0.31797358230705836,0.2407597093588429,0.1713921836061528,-0.018145920384256848,-0.0736690085863756,-0.3625540060686203,-0.29676972020063996,-0.4421903162073042,15973445382.960001,1869399546.7199998,0.11703170492661652,0.11563901506400251,-0.03993571345868452,-0.18732522620238867
HK,01888,01888,2020,Q4,2020-12-31,2021-03-22,0.29625819612103593,0.246785199400317,0.20252115390517006,0.12224905375570302,0.07900172216641876,1.537666469788441,0.8363810531801815,0.45450191964904346,0.10207574947679722,0.03918286944612013,-0.14475254527307846,0.3416782956816069,0.4080110587043966,1.5241782271167406,14561370185.04,2359020131.4,0.16200536772450166,0.1706802827562569,-0.11577660041645554,0.09625762124445081
