country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,fixed_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets_total,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,300502,300502,2016,Q2,2016-06-30,CNY,192791631.65,163384401.14000002,143069027.78,0.0,2903320.8600000003,12745551.739999998,-421304.72000000003,29949840.509999998,2620028.7699999996,739.5499999999993,5577701.430000001,26991428.3,77600000.0,456549722.48,367603411.06,36952920.77,176976402.56,152329613.32,3327527.61,233101768.49,913851660.73,131359457.46,5980683.1,9202111.43,202686958.19,92838532.12,6911558.8,11653196.69,170960251.38,6872313.23,938706054.31,938706054.31,2983059.52,274569725.45,138891893.38,4055201.17,131359457.46,153091484.38,2825487.64,138367093.68000004,14684174.619999997,5528760.0600000005,4385793.39,627373.9199999999,36379560.660000004,-245836950.66,-1472341.550000012,-246338652.01,-246338652.01
CN,300502,300502,2016,Q3,2016-09-30,CNY,170517169.72000003,133385524.12,117133239.79000002,917766.98,2937943.8099999996,13325666.880000003,-498714.25,38905648.39,1554369.25,396.3700000000008,8433701.109999998,32025920.160000004,77600000.0,456549722.48,399629331.22,36952920.77,158994358.07,115434440.29,2321517.79,286339290.97,909093076.85,196579933.39,5878067.02,6440244.18,258243643.9,121650516.44,11705893.62,9307982.48,190206243.75,6397992.38,970732484.62,970732484.62,3045435.48,256509575.56,161043937.49,971554.91,196579933.39,189654105.43,2247883.4599999995,160868485.51999998,15103526.950000003,5792393.65,3981993.24,14479756.86,29169654.509999998,-32396951.72000003,-694594.1599999666,-18426808.650000006,-18426808.649999976
CN,300502,300502,2016,Q4,2016-12-31,CNY,204301846.76999992,177988847.90999997,155328988.2,1407182.1600000001,2976948.9300000006,15603066.869999997,-1101635.33,27587330.0,2065857.5700000003,534.3999999999996,4862096.520000003,24790556.64999999,77600000.0,456549722.48,414293050.38,47079758.26,135607398.67,180195566.63,4113382.65,283698017.21,908113231.47,221378146.03,5793236.26,6655981.28,289220833.12,105335205.28,19954628.2,6782557.37,195519620.78,6265694.19,995548749.62,995548749.62,2543329.51,292113269.15,143877868.12,816831.3,221378146.03,180845132.08999997,666621.2200000007,168587196.67000002,13438763.180000007,6666491.349999998,3941598.99,5251662.58,51524353.870000005,-30033266.089999974,-280553.9700000286,-23317343.369999997,-23317343.370000005
CN,300502,300502,2017,Q1,2017-03-31,CNY,191535709.96,159077831.97,142594119.48,775714.46,2791168.2,12501408.64,81571.5,34233649.21,1056367.99,13767.91,5399822.8,29876426.49,77600000.0,456549722.48,444169476.87,47079758.26,208942022.05,162423583.18,2321477.62,387349016.8,945318367.63,245216409.23,5690240.17,6455448.07,301153820.06,143296916.45,7799162.68,7307627.99,215732717.62,5317527.21,1025421942.86,1025421942.86,2527506.54,292305018.91,172392897.57,940411.89,245216409.23,185289122.32,931693.92,198108546.74,30798183.25,5727985.49,4201374.23,-43148454.56,30033650.43,116742624.37,368375.58,73702998.96,208619942.45
CN,300502,300502,2017,Q2,2017-06-30,CNY,239176851.60999998,204370729.01000002,178485303.79,569464.45,2611645.79,15726267.46,170615.27,34872870.160000004,4016611.0199999996,21928.000000000004,6085373.61,32782179.570000004,232800000.0,301349722.48,449791656.44,47079758.26,96302575.27,217330001.32,2529295.53,422853555.21,940243027.19,279367766.88,5587244.08,7317286.18,330510328.09,139837548.63,12427872.0,7461915.89,234898407.16,4819260.48,1031035687.64,1031035687.64,2345825.84,375610756.87,180094921.77,871089.19,279367766.88,175314715.97000003,4472655.36,227132264.09999996,17376755.46,7902683.379999999,5337795.6,-61816650.2,43226409.029999994,-23051340.540000007,-27522127.599999998,-112768536.00999999,-112768536.00999999
CN,300502,300502,2017,Q3,2017-09-30,CNY,231211589.07,191191727.84000003,171316313.10000002,164600.57000000007,2728917.05,14538885.399999999,750279.08,41514362.17,-746368.04,10060.759999999995,6794963.640000001,33962969.730000004,232800000.0,301349722.48,483754626.17,47079758.26,148938200.27,235651624.85,3460072.16,460581681.92,1008707768.72,291931250.76,5565551.81,7545105.77,350297440.41,139014316.37,11112631.67,8467176.38,289663398.09,4398219.09,1064943591.95,1064943591.95,26072176.27,356844629.34,186985367.85,1201235.64,291931250.76,254993901.28000003,3238935.4699999997,158277445.29000002,21689468.520000003,6174354.950000001,16526846.290000001,70294371.57000001,41305936.94000001,-41305936.94,23292837.28,52287147.809999995,52287147.81
CN,300502,300502,2017,Q4,2017-12-31,CNY,215441211.14,209653684.14,174389025.41999996,844969.2600000002,5191736.100000001,23522375.64,76847.66000000003,12090249.879999995,545518.9400000004,116.02000000000407,-1833677.0500000007,14469329.849999994,237742500.0,366670173.22,490284098.64,55019615.64,108066884.07,218017475.94,2355873.04,433538560.49,1016951349.92,314138612.86,5474635.56,13378052.3,385407141.65,126995843.37,18470269.5,6208924.1,310656995.06,3989505.3,1087711991.21,1087711991.21,64311424.78,424134083.51,179248910.39,1330544.91,314138612.86,165517140.2399999,7517734.779999999,199023503.75,20161886.019999996,6836050.91,-3771118.6999999993,-38265440.84,21169336.419999987,-61423240.0,38798243.230000004,-61941721.449999996,-61941721.45
CN,300502,300502,2018,Q1,2018-03-31,CNY,177508928.3,184231710.25,150945804.38,1610775.5,3413019.3,19084461.28,1377395.92,-4238272.51,28221.21,5280.33,-577915.37,-3637416.26,237742500.0,374180102.42,486646682.38,55019615.64,157067650.01,187376513.25,1738210.7,381681342.28,973773321.61,302637469.53,5399804.8,16236063.46,374099074.29,109287685.07,4350553.77,4712929.38,252861780.5,3600334.26,1091410281.14,1091410281.14,64179405.95,389080753.61,147225786.45,1747267.81,302637469.53,212301920.73,2918788.0,109435535.48,33657538.7,7288507.59,5211250.63,62104035.63,6772733.35,-6411390.89,-5660277.55,48712115.06,134908947.86
CN,300502,300502,2018,Q2,2018-06-30,CNY,158569428.17000002,173508342.01,136604218.44,2217279.15,4338654.44,25274329.75,-5565347.57,-13784320.69,636210.2000000001,146007.75,-1776981.27,-11517136.97,237742500.0,383435874.7,446600445.41,55019615.64,181095861.64,149181661.64,2149669.71,341945597.85,911835258.65,308263331.29,6859597.99,19403589.87,387519211.64,93263713.88,10410447.11,3578611.98,234989675.66,3427164.97,1060937629.66,1060937629.66,65578536.45,308217650.35,145695248.34,2675827.19,308263331.29,240546424.52,2621847.75,88297848.68999998,19878313.33,9509755.580000002,6361106.420000001,119187127.91,27048757.309999995,-56776726.98,-42328411.470000006,24426475.00999999,24426475.00999999
CN,300502,300502,2018,Q3,2018-09-30,CNY,197986566.39,175041937.06,155174145.92000002,1241913.7799999998,3805782.8599999994,-20524151.59,-6931960.02,23982095.07,251567.40000000002,-19970.29999999999,3683603.46,20570029.310000002,238362500.0,396730117.45,467170474.72,55019615.64,191036309.87,168504552.03,5024270.06,318966956.24,941033073.87,293711466.46,7258980.61,18854660.4,410116694.87,,10916671.78,7435502.72,257087822.19,3344281.33,1090717665.22,1090717665.22,69268662.77,266865574.34,157507271.55,1439169.34,293711466.46,244593351.25,2337183.67,106456874.07000002,20281085.950000003,1096159.049999997,5535382.82,120831414.57000002,12028612.860000007,-117663782.03999999,24675446.120000005,31440447.89,31440447.889999986
