country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,600522,600522,2016,Q2,2016-06-30,CNY,4888671811.59,4498426807.139999,3960091577.8899994,25755350.29,199942784.33999997,278391219.41999996,2719269.3599999994,518541482.42,9549288.739999998,103347.16999999993,111018718.05000001,412320076.31999993,2610771066.0,3771878357.39,3519005768.48,316839619.46,3371906442.06,4932194095.3,491653709.7,3112858257.92,12697438803.54,509426446.43,105927583.98,5743641518.84,2203831431.08,159475012.44,141633061.33,6767220442.98,721371374.08,10822961879.16,10952488505.32,194393868.62,5080154611.96,3235037507.47,238536425.5,3420820829.91,5540284477.860001,171558898.52000004,4323119864.45,199054346.76999998,214864173.67000002,225475400.26000002,793148089.48,382887072.38000005,-370377761.28999996,437541217.51,860856774.0,860856774.0
CN,600522,600522,2016,Q3,2016-09-30,CNY,5377156019.24,4949327695.049999,4434281141.940001,12817149.0,192952816.14999998,276700129.45,25327405.41,450586907.94000006,36862293.44,3959049.9299999997,68345666.23999998,417312472.96000004,2610771066.0,3771878357.39,3936318241.44,316839619.46,3178622664.11,5066371003.35,633666196.35,3705556328.25,13403003544.67,511350256.33,111002547.57,6584066198.36,2533435761.61,210474652.25,133005025.9,7462086600.07,815871417.73,11571953086.81,11709111725.23,184704047.62,5241224700.98,3750341360.19,269098410.81,3770039117.87,5944261652.18,377932066.26,5574745899.57,214189702.04000002,201543409.53000003,436160518.54999995,-56979165.00999999,386584492.3299999,-373057923.07000005,240920939.25,-193283777.95,-193283777.9500003
CN,600522,600522,2016,Q4,2016-12-31,CNY,6527214640.750002,6213045593.199999,5686031266.030001,40491646.53,206251192.75,266126747.32000005,723723.2100000009,446435414.99,38287391.79000001,2169565.33,37173385.00000003,443060204.97,2610771066.0,3771878357.39,4304902382.47,391315683.4,3666243098.16,5323361667.74,318216523.78,3051684338.5,13468360713.72,526550688.03,114706037.51,6984169956.83,2644735560.98,219459115.68,139429776.12,7758608847.71,600890601.29,11941794831.9,12093031221.55,102898183.11,5585413865.38,4034433798.91,201274352.79,4334471396.06,6527920934.700001,-354110321.70000005,5131871621.260002,261267379.64999998,211348812.51999998,-406639491.95,1039788289.37,778307885.94,-531985751.3299999,-226330433.89999998,310883459.06,310883459.0600004
CN,600522,600522,2017,Q1,2017-03-31,CNY,5393412252.58,5036914428.83,4483302819.64,16229461.23,213513173.6,260702578.59,19452940.72,486319755.63,43070017.71,1661423.53,81946949.24,445379803.49,3066072521.0,7617736899.54,4750282185.96,391315683.4,4803343773.0,6614220717.47,793101001.37,3649663942.2,16966563867.37,542646692.24,126641865.59,7122166959.47,2945102204.79,124967283.96,242851413.74,6662974559.94,653767810.12,16615570403.1,16771988456.78,83765587.04,6851530819.99,4140817040.18,285465834.88,4578066317.56,4862968701.07,159170088.79,5663146197.65,389043557.04,161036101.12,219167462.58,-1349323381.14,408137086.69,-352788801.83,2843404083.41,1137100674.84,4514399716.64
CN,600522,600522,2017,Q2,2017-06-30,CNY,6907689555.799999,6366739438.059999,5744454485.87,27791167.290000003,238816998.89000002,312104271.9599999,32021053.28,577800571.11,33977608.1,2734553.29,99857639.14999999,505195949.20000005,3066072521.0,7622199541.08,5255478135.16,391315683.4,5323698563.55,6997407596.7,1155546595.42,3824765835.26,18379724677.32,564775584.69,118021778.32,7144232833.94,3102477168.65,181034363.16,194390576.1,7103662184.37,1241956025.14,17021368693.5,17178339301.75,101106391.2,7276813681.26,4404723232.01,252777157.81,4599556596.04,7840356889.700001,198431277.79,6939551886.880001,262659040.40000004,322540857.4,267266896.06999996,292721176.5100001,348108642.27000004,-298239364.96,575529098.5799999,569085438.19,569085438.1899996
CN,600522,600522,2017,Q3,2017-09-30,CNY,7064229686.210001,6636395847.880001,5912598684.360001,20747572.559999995,246717970.91999996,398442278.6700001,60175655.05,541693645.53,37219154.45,1353687.75,87180906.12,488233143.29999995,3066072521.0,7622199541.08,5437104026.36,391315683.4,5145637244.4,6927679894.82,1104330426.75,4202540499.72,18661619372.6,566089038.66,121103392.46,7370298060.91,3190565824.12,226624564.85,142666222.16,7354574399.66,1252801974.59,17256440202.15,17424541059.26,85093393.72,7296373318.89,4781022601.87,241883856.7,4875332443.79,8221815872.59,195961033.14000005,7066771131.949999,265641981.25,292882015.47,316032707.45000005,517210642.1,341357654.5899999,-361624456.34000003,-339004295.6199999,-201695707.76999998,-201695707.7699995
CN,600522,600522,2017,Q4,2017-12-31,CNY,7736064195.48,7471782121.919998,6769974091.629999,20338227.72,182129254.10000002,423405401.6299999,72823931.08999999,484162519.43000007,-105895225.94,1910862.5699999994,24155466.97000003,349554952.53999996,3066072521.0,7622294362.58,5708832611.05,469142051.25,6315745033.34,5881683860.09,674373634.1,4017477070.93,18339921390.67,595965064.07,163868177.95,8467753711.65,3022183478.14,292916742.42,128350088.46,7808752711.01,1234041242.95,17609817866.64,17764881148.36,137542019.45,6366938950.5,5121011098.1,306006155.68,5243004065.43,7592570907.349998,-174240498.87,5737109676.670002,261815058.89999986,163241527.96000004,-247987667.39,1603043067.76,991990735.9300001,-751342942.37,172410649.57000017,928803748.76,928803748.7599993
CN,600522,600522,2018,Q1,2018-03-31,CNY,6620995952.12,6196566911.69,5494532357.34,24223088.54,208368089.58,344878193.94,99325495.41,531670953.85,1782893.99,3196930.21,79142055.25,447723187.27,3066072521.0,7622294362.58,6156555798.32,469142051.25,5620262208.27,7181205770.28,880755605.98,4212182662.61,19207448813.79,589567290.09,184964012.34,8902481853.9,2861542944.18,187990489.07,259884003.4,8470866699.11,1535955055.73,17947163610.83,18103108912.85,154389823.16,7487785590.93,4942336317.47,458833471.51,5380652363.05,6404870811.17,122807366.33,6266685086.64,458845397.2,177681399.42,232626592.19,-537025782.32,526820040.4,-666725908.51,768795854.06,-532402513.63,5278190682.19
CN,600522,600522,2018,Q2,2018-06-30,CNY,9084645553.52,8397215458.05,7731303063.52,24656915.840000004,252910061.02,400463231.51000005,-56559376.5,729135567.9699999,4935778.6899999995,1427017.3499999996,119894689.27000001,613349844.32,3066072521.0,7622294362.58,6463298390.54,469142051.25,4818694731.39,7679579081.97,1784509457.64,4410419611.15,20096509867.56,648840402.68,186639121.02,9154531353.77,3871431311.53,234446187.14,161599829.88,10263374816.67,713763301.22,18121636445.33,18273903103.44,408568897.67,8078509960.55,5782448723.64,404701334.8,5466627980.28,8982738197.71,163481942.12,8973721100.8,305769322.59999996,353653797.38,171387237.06,-609129737.9899999,616147545.93,-633560634.48,250031656.49,-880283484.09,-880283484.0899992
CN,600522,600522,2018,Q3,2018-09-30,CNY,7955099234.200001,7310342103.83,6664247877.57,28189885.009999998,261302381.77999997,-391676264.4200001,-52438932.69,698593474.3400002,2856771.790000001,9790119.490000002,116054174.48999998,572545287.2499999,3066072521.0,7611512212.77,7035843677.79,469142051.25,5100206815.11,7804429591.68,1802669127.37,4945020276.37,21251346245.58,674224061.85,174124774.92,10388262274.9,,260483247.69,194357571.57,11791551109.27,874264533.39,18806300832.76,18973792877.82,249028856.59,8271126207.98,6307393011.6,459953002.21,5722419417.79,8285277433.940001,242320762.65000004,7126883774.640001,306241214.7900001,201138163.84999996,433030919.4,561028078.15,749260225.4100001,-1282321312.41,824855901.6300001,160374487.17000008,254244268.25999928
