country,code,symbol,fiscal_year,period,report_date,release_date,gross_margin,operating_margin,net_margin,roe,roa,current_ratio,debt_to_equity,debt_to_assets,ocf_to_revenue,fcf_margin,accrual_ratio,revenue_yoy,revenue_qoq,net_income_yoy,net_income_qoq,eps_yoy,revenue_ttm,net_income_ttm,eps_ttm,net_margin_ttm,roe_ttm,revenue_ttm_yoy,net_income_ttm_yoy,eps_basic,eps_surprise,eps_surprise_pct
US,NVDA,NVDA,2017,Q2,2016-07-31,2016-08-23,0.5784313725490197,0.23039215686274508,0.18277310924369747,0.06016597510373444,0.03582950099526391,2.4832593787817667,0.6654017857142858,0.39954429701112454,0.1400560224089636,0.11764705882352941,0.008373944677054018,0.238508239375542,0.09425287356321843,9.038461538461538,0.2548076923076923,9.170051858254105,5439000000.0,923000000.0,0.043211610486891386,0.1697003125574554,0.2127708621484555,0.13798181153983435,0.7543259434966396,0.012219101123595505,,
US,NVDA,NVDA,2017,Q3,2016-10-30,2016-11-22,0.5903193612774451,0.31786427145708585,0.27045908183632733,0.1105671154630763,0.06349206349206349,3.982262703739214,0.8054094665664914,0.4461090303786933,0.2155688622754491,0.1966067864271457,0.012885843144145728,0.535632183908046,0.403361344537815,1.203252032520325,1.0766283524904217,1.2196330885241937,6138000000.0,1219000000.0,0.056644981412639406,0.19859889214727924,0.24867401060791514,0.2630892718901521,1.0346236530424218,0.025185873605947956,,
US,NVDA,NVDA,2017,Q4,2017-01-29,2017-03-01,0.5996318453750575,0.3423838011965025,0.300966405890474,0.11798664982861266,0.0672389862746106,4.692688290269379,0.707913918778202,0.41449039731734577,0.33179935572940633,0.3083294983893235,-0.006888397676450933,0.5510349750178445,0.08433133732534936,2.144230769230769,0.2066420664206643,2.0646299902629015,6910000000.0,1665000000.0,0.07527124773960217,0.24095513748191028,0.300378856215046,0.3792415169660679,1.711726384364821,0.029566003616636527,,
US,NVDA,NVDA,2018,Q1,2017-04-30,2017-05-23,0.5937016004130098,0.2849767681982447,0.26174496644295303,0.08525306877417185,0.05267258843696431,8.197979797979798,0.5345727332028702,0.3483528161530287,0.14558595766649457,0.11770779556014456,0.02337540906965872,0.48429118773946356,-0.1086056143580304,1.4375,-0.22477064220183485,1.2110430743243241,7542000000.0,1964000000.0,0.08293918918918919,0.260408379740122,0.33025054649403063,0.46049573973663827,1.8546511627906979,0.021410472972972973,,
US,NVDA,NVDA,2018,Q2,2017-07-30,2017-08-23,0.5838565022421525,0.3134529147982063,0.26143497757847534,0.0963238331268071,0.06198171379970232,7.804642166344294,0.5740833751883475,0.3647096362476069,0.31614349775784756,0.29192825112107623,-0.012970444397193281,0.561624649859944,0.15126484254001027,1.2337164750957856,0.14990138067061154,0.9979976510907027,8344000000.0,2286000000.0,0.0957286432160804,0.27396931927133267,0.37769516728624536,0.5341055341055341,1.47670639219935,0.024413735343383584,,
US,NVDA,NVDA,2018,Q3,2017-10-29,2017-11-21,0.5952200303490136,0.34559939301972686,0.3179059180576631,0.1359837728194726,0.08714642262895175,8.248054474708171,0.547544080604534,0.35381485249237027,0.4389226100151745,0.41274658573596357,-0.0331738768718802,0.3153692614770458,0.1820627802690582,0.5461254612546125,0.4373927958833619,0.37946185432003565,8976000000.0,2582000000.0,0.10704809286898839,0.2876559714795009,0.41898580121703854,0.4623655913978495,1.1181296144380641,0.03474295190713101,,
US,NVDA,NVDA,2018,Q4,2018-01-28,2018-02-28,0.6186877361731363,0.3758158708347647,0.3844039848849193,0.1619040729219417,0.10621232974229984,8.026886383347788,0.5046178557087405,0.3353794146428254,0.4665063552043971,0.3236001374098248,-0.022685207156755732,0.3396226415094339,0.10432473444613044,0.7110091743119267,0.3353221957040573,0.5613664577466921,9714000000.0,3047000000.0,0.1257013201320132,0.3136709903232448,0.44085943716993414,0.4057887120115775,0.8300300300300301,0.04616336633663366,,
US,NVDA,NVDA,2019,Q1,2018-04-29,2018-05-22,0.6448394137823511,0.41347053320860616,0.38790146554412225,0.16381353700289703,0.10959869609268315,8.54249547920434,0.48503304392898794,0.32661431064572427,0.4505768631119426,0.41378235110695355,-0.017708470992467293,0.6556530717604543,0.1016832703538304,1.4536489151873768,0.11170688114387839,1.3969639567507048,10984000000.0,3784000000.0,0.1561056105610561,0.3445010924981792,0.49828812220173824,0.456377618668788,0.9266802443991853,0.05132013201320132,,
US,NVDA,NVDA,2019,Q2,2018-07-29,2018-08-16,0.6324047390329811,0.38232468780019213,0.3525456292026897,0.13335755813953487,0.09046093172294799,7.408344733242134,0.4646958499147243,0.31726439993789785,0.292347102145373,0.2510406660262568,0.015446553282392573,0.4004484304932736,-0.026192703461178635,0.8885077186963979,-0.114951768488746,0.857395565175864,11877000000.0,4302000000.0,0.1771828665568369,0.3622126799696893,0.5210755813953488,0.4234180249280921,0.8818897637795275,0.04534596375617792,0.0,0.0
US,NVDA,NVDA,2019,Q3,2018-10-28,2018-11-15,0.6038981452373468,0.34454574033322855,0.3866708582206853,0.13464696223316913,0.09269377143072459,7.080845771144278,0.4413720316622691,0.306216592223768,0.15309651053127948,0.1059415278214398,0.05599306680734014,0.20675265553869493,0.018571886007044514,0.467780429594272,0.11716621253406001,0.4533195386623088,12422000000.0,4694000000.0,0.19269293924466338,0.37787795846079536,0.513847837985769,0.3839126559714796,0.8179705654531371,0.050492610837438424,0.0,0.0
