country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,total_operating_cost,cost_of_revenue,taxes_and_surcharges,selling_expense,admin_expense,finance_expense,operating_profit,non_operating_income,non_operating_expense,income_tax,net_income_attr_parent,total_shares,capital_reserve,retained_earnings,surplus_reserve,cash_equivalents,accounts_receivable,prepayments,inventories,current_assets,intangible_assets,deferred_tax_assets,non_current_assets,accounts_payable,payroll_payable,taxes_payable,current_liabilities,non_current_liabilities,equity_attr_parent,total_equity,other_payables,receivables_and_notes,notes_and_accounts_payable,other_receivables,fixed_assets,cash_from_sales,cash_from_other_operating,cash_paid_goods,cash_paid_employees,cash_paid_taxes,cash_paid_other_operating,operating_cash_flow,capital_expenditure,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_end_period
CN,688256,688256,2017,Q4,2017-12-31,CNY,7843274.14,400689719.95,3000.0,107691.24,120000.0,372041386.95,-1444211.41,-380700413.24,,,,-380700413.24,1004650.5,413881090.19,-381809172.04,,232196206.08,4410913.02,36396324.81,49401.71,569434054.45,3091811.98,,20750561.26,881107.07,8781633.34,996950.51,506639279.04,50468768.02,33076568.65,33076568.65,495979588.12,4410913.02,881107.07,4611656.91,7049837.51,6689997.53,42391705.34,316764.69,15127091.14,560846.42,56601308.43,-23524307.81,20644931.31,-309669991.05,495937526.25,162743227.39,227196206.08
CN,688256,688256,2018,Q4,2018-12-31,CNY,117025238.76,288940221.55,117141.89,1116731.87,6215957.88,44075626.99,-2697080.49,-41331484.21,285613.79,636.95,,-41046507.37,1128028.8,932370039.75,-422855679.41,,1354374887.7,32644376.6,22994504.42,5148516.8,2953944032.3,35445492.71,,87507548.17,22399487.29,35717396.88,6629099.73,2447774472.99,83034718.34,510642389.14,510642389.14,2383028489.09,32644376.6,22399487.29,18555264.88,40506434.76,96536398.62,109768203.63,9486230.73,93006413.47,7012283.29,152290149.24,-55490474.49,74855491.69,-1221412111.38,2405074781.24,1127178681.62,1354374887.7
CN,688256,688256,2019,Q4,2019-12-31,CNY,333752689.56,969615766.5200001,126167073.69,1462129.65,11568696.889999999,612298068.8900001,-1199792.58,-593126638.51,,178493.31000000006,,-593165596.76,360000000.0,4851116552.63,-854637043.86,,383308680.43,64608654.82,10891633.82,51065453.41,4451241130.78,119150110.53,,217231150.78,124913859.29,84494619.15,25692593.97,237975074.96,74017697.83,4356479508.77,4356479508.77,1679257.8,64608654.82,124913859.29,12655254.19,86047880.47,324514589.07,129951610.8,87551887.64,92671532.00999999,6311873.14,199126142.01000002,68804765.07000002,84725251.39000002,-115366290.67999983,0.0,-46516461.30999994,-46516461.31
CN,688256,688256,2020,Q1,2020-03-31,CNY,11552641.24,162349825.02,3544873.02,997902.44,5098964.63,30180999.27,-1232099.16,-108357585.99,1.35,,,-108357584.64,360000000.0,4852592586.79,-962994628.5,,166698010.47,13631364.15,10000951.43,53748598.45,4278973462.82,112122862.33,,214572092.68,92292018.08,63504594.31,9484359.2,171598643.25,72348953.96,4249597958.29,4249597958.29,2165757.05,13631364.15,92292018.08,14410053.96,88447653.82,62999761.07,5142356.8,20740141.6,125284481.26,13280311.93,42128165.15,-127664689.05,36903020.36,-89228125.77,,-216610669.96,166698010.47
CN,688256,688256,2020,Q2,2020-06-30,CNY,75650784.81,219196663.61999997,15962055.59,254504.91000000015,8327029.47,32982105.31,-1725192.3499999999,-93502738.46,766.48,,,-93501971.98,360000000.0,4852592586.79,-1056496600.48,,915972657.7,71048627.6,30594430.11,57897479.33,4260435382.07,111650592.06,,233935451.29,60335401.34,25825335.11,7108900.52,116445101.87,221829745.18,4156095986.31,4156095986.31,18889725.9,71048627.6,60335401.34,14168759.67,99567004.99,28201390.949999996,190397116.13,133521564.36000001,137554902.33999997,-1762219.1999999993,19878157.270000003,-72969170.83999999,56672622.629999995,822526135.98,,749274647.23,749274647.23
CN,688256,688256,2020,Q3,2020-09-30,CNY,70326531.86999999,239140263.37,36087282.01,458638.4099999999,11330385.85,36980231.519999996,-4723152.9,-107650719.99000001,0.0,1937.24,,-107652657.23000002,400100000.0,7310165502.98,-1164149257.71,,3400338599.66,131667081.92,14238642.2,75619580.29,6659780074.12,131231042.32,,296042404.52,71340694.86,29641678.65,6857522.39,117112116.03,292594117.34,6546116245.27,6546116245.27,3247940.8,131667081.92,71340694.86,18308847.25,124799243.68,17508487.64,115554405.96999997,71418362.97999999,109387929.12000003,1625154.6600000001,66847207.7,-116215556.44,96216970.56000002,109681074.52999997,2490905582.98,2484365941.96,2484365941.96
CN,688256,688256,2020,Q4,2020-12-31,CNY,301397372.75,510351780.6099999,103275750.41999999,707221.01,20169940.320000004,64952942.640000015,-14565227.54,-124948747.14999998,149942.25,198312.41,,-124997117.31,400100000.0,7320547607.59,-1289146375.02,,4875288355.88,207646239.35,8595258.85,90618443.54,6877292904.12,260878681.45,,432235767.54,238629978.3,135307019.49,20566851.14,400574213.32,477453225.77,6431501232.57,6431501232.57,3595414.48,207646239.35,238629978.3,18576907.12,135621241.06,258945483.64000002,225722793.31,17205390.400000006,126705137.50999999,4052075.5599999987,162737069.7,184701428.42,69787546.1,29184133.319999933,1742842.6500000954,215601811.00999975,215601811.01000023
CN,688256,688256,2021,Q1,2021-03-31,CNY,36131025.54,298873041.86,20191787.5,182690.93,11414144.22,75888677.76,-11919034.9,-205561489.93,,30943.52,,-205592433.45,400100000.0,7358002486.35,-1496500151.52,,1886595851.94,208721987.96,52786918.88,112029897.95,6544114344.72,233352990.13,,509498320.17,98291878.39,124623013.33,18595734.72,246918600.54,545091729.52,6261602334.83,6261602334.83,3144506.79,208721987.96,98291878.39,18563937.47,139848242.23,34443077.48,9929332.42,128194637.44,164951988.04,3687065.2,34666602.32,-284791691.24,138683788.54,-2033165796.91,-19250061.63,-2337210312.16,1278730098.51
CN,688256,688256,2021,Q2,2021-06-30,CNY,101741163.65,356037249.91999996,44652948.11,293365.89,13348176.58,83033599.67999999,-12296542.01,-185986272.71999997,110776.0,6615.569999999996,128577.92,-186010690.21000004,400100000.0,7398879818.34,-1682510841.73,,2820013429.82,194903487.83,19982585.67,174726568.83,6258867028.37,227513035.79,,513698450.26,117120640.99,40883339.87,8888006.03,167707198.14,488389303.88,6116468976.61,6116468976.61,257010.7,194903487.83,117120640.99,19368049.16,147317101.22,127709971.22,13630589.799999999,98595311.05000001,255523498.66,524609.79,50455947.080000006,-254525636.25,49812136.77000001,1811498900.5300002,-15602946.750000004,1541283331.31,1541283331.3100002
CN,688256,688256,2021,Q3,2021-09-30,CNY,84546549.77000001,440460268.3399999,44693689.70999999,104065.31,18768150.41,97924091.44,-14470149.27,-237962542.19000006,95097.0,5285.1700000000055,0.0,-237855352.66000003,400100000.0,7454986137.41,-1920366194.39,,3855938616.44,163486739.34,44395897.84,220021253.02,6106647969.11,219413505.65,,625221984.93,91956475.84,44531688.89,14931800.07,151963557.87,582088784.49,5934719943.02,5997817611.68,22948.92,163486739.34,91956475.84,28595154.86,180328902.7,123570659.77000004,190367651.92,146524422.62,211967029.00000006,567621.4399999995,67691469.32999998,-112785322.89999998,168750920.89,1102740555.73,45940541.03,1035925186.62,1035925186.6199999
