country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income_attr_parent,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,fixed_assets,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,total_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MSFT,MSFT,2019,Q2,2018-12-31,USD,32471000000.0,12423000000.0,5720000000.0,9790000000.0,11057000000.0,2995000000.0,32000000.0,10385000000.0,8420000000.0,7692000000.0,7768000000.0,6638000000.0,121024000000.0,156874000000.0,39523000000.0,101985000000.0,50318000000.0,116413000000.0,77556000000.0,16585000000.0,92128000000.0,-3390000000.0,-2208000000.0,-135000000.0,8900000000.0,-4200000000.0,-13216000000.0,-8499000000.0,15137000000.0,-3707000000.0
US,MSFT,MSFT,2019,Q3,2019-03-31,USD,30571000000.0,10170000000.0,5744000000.0,10060000000.0,11157000000.0,2926000000.0,-3000000.0,10486000000.0,8809000000.0,7672000000.0,7744000000.0,11212000000.0,120406000000.0,159887000000.0,40769000000.0,103394000000.0,53861000000.0,114556000000.0,77791000000.0,18338000000.0,94864000000.0,1028000000.0,753000000.0,-95000000.0,13520000000.0,-1363000000.0,-7601000000.0,4574000000.0,6638000000.0,-2565000000.0
US,MSFT,MSFT,2019,Q4,2019-06-30,USD,33717000000.0,10412000000.0,6387000000.0,10900000000.0,13265000000.0,2924000000.0,40000000.0,12596000000.0,13187000000.0,7655000000.0,7730000000.0,11356000000.0,122463000000.0,175552000000.0,43856000000.0,111004000000.0,69420000000.0,114806000000.0,78520000000.0,24150000000.0,102330000000.0,4852000000.0,13771000000.0,-322000000.0,16108000000.0,-7257000000.0,-8686000000.0,144000000.0,11212000000.0,-4051000000.0
US,MSFT,MSFT,2020,Q1,2019-09-30,USD,33055000000.0,10406000000.0,5398000000.0,9963000000.0,13323000000.0,2971000000.0,87000000.0,12686000000.0,10678000000.0,7634000000.0,7710000000.0,13117000000.0,123519000000.0,165896000000.0,46299000000.0,113059000000.0,58118000000.0,114776000000.0,78882000000.0,27240000000.0,106061000000.0,-927000000.0,-9909000000.0,11000000.0,13818000000.0,-1776000000.0,-10209000000.0,1761000000.0,11356000000.0,-3385000000.0
US,MSFT,MSFT,2020,Q2,2019-12-31,USD,36906000000.0,12358000000.0,6054000000.0,10657000000.0,14739000000.0,3203000000.0,34000000.0,14085000000.0,11649000000.0,7621000000.0,7691000000.0,8864000000.0,125389000000.0,167074000000.0,48961000000.0,115720000000.0,59640000000.0,113045000000.0,79625000000.0,30739000000.0,110109000000.0,-5256000000.0,-1845000000.0,-203000000.0,10680000000.0,-6036000000.0,-8915000000.0,-4253000000.0,13117000000.0,-3545000000.0
US,MSFT,MSFT,2020,Q3,2020-03-31,USD,35021000000.0,10975000000.0,6184000000.0,11071000000.0,13457000000.0,3118000000.0,59000000.0,12843000000.0,10752000000.0,7602000000.0,7675000000.0,11710000000.0,125916000000.0,170505000000.0,49669000000.0,114944000000.0,58707000000.0,112241000000.0,79813000000.0,32012000000.0,114501000000.0,2450000000.0,832000000.0,52000000.0,17504000000.0,51000000.0,-14645000000.0,2846000000.0,8864000000.0,-3767000000.0
US,MSFT,MSFT,2020,Q4,2020-06-30,USD,38033000000.0,12339000000.0,7073000000.0,12287000000.0,14108000000.0,3504000000.0,-91000000.0,13422000000.0,11202000000.0,7580000000.0,7650000000.0,13576000000.0,122951000000.0,181915000000.0,52904000000.0,119396000000.0,72310000000.0,110697000000.0,80552000000.0,34566000000.0,118304000000.0,2250000000.0,8830000000.0,-79000000.0,18673000000.0,-4462000000.0,-12262000000.0,1866000000.0,11710000000.0,-4744000000.0
US,MSFT,MSFT,2021,Q1,2020-09-30,USD,37154000000.0,11002000000.0,5350000000.0,10276000000.0,16713000000.0,2645000000.0,-19000000.0,16124000000.0,13893000000.0,7566000000.0,7637000000.0,17205000000.0,120772000000.0,177077000000.0,56974000000.0,123924000000.0,70056000000.0,107553000000.0,81089000000.0,39193000000.0,123392000000.0,1480000000.0,-6870000000.0,-128000000.0,19335000000.0,-5371000000.0,-10289000000.0,3629000000.0,13576000000.0,-4907000000.0
US,MSFT,MSFT,2021,Q2,2020-12-31,USD,43076000000.0,14194000000.0,6086000000.0,10985000000.0,18908000000.0,2761000000.0,-26000000.0,18337000000.0,15463000000.0,7555000000.0,7616000000.0,14432000000.0,117536000000.0,173973000000.0,62035000000.0,130164000000.0,67486000000.0,106415000000.0,81896000000.0,44973000000.0,130236000000.0,-6903000000.0,-3716000000.0,-354000000.0,12516000000.0,-1669000000.0,-13634000000.0,-2773000000.0,17205000000.0,-4174000000.0
US,MSFT,MSFT,2021,Q3,2021-03-31,USD,41706000000.0,13045000000.0,6409000000.0,11613000000.0,17869000000.0,2936000000.0,-114000000.0,17236000000.0,15457000000.0,7539000000.0,7597000000.0,13702000000.0,111705000000.0,165614000000.0,65618000000.0,143265000000.0,72193000000.0,102181000000.0,82308000000.0,50735000000.0,134505000000.0,2700000000.0,1906000000.0,-351000000.0,22179000000.0,-9684000000.0,-13192000000.0,-730000000.0,14432000000.0,-5089000000.0
US,MSFT,MSFT,2021,Q4,2021-06-30,USD,46152000000.0,13991000000.0,7379000000.0,13066000000.0,19958000000.0,3344000000.0,-56000000.0,19405000000.0,16458000000.0,7527000000.0,7581000000.0,14224000000.0,116032000000.0,184406000000.0,70803000000.0,149373000000.0,88657000000.0,103134000000.0,83111000000.0,57055000000.0,141988000000.0,1787000000.0,12164000000.0,-416000000.0,22710000000.0,-10853000000.0,-11371000000.0,522000000.0,13702000000.0,-6452000000.0
US,MSFT,MSFT,2022,Q1,2021-09-30,USD,45317000000.0,13646000000.0,5834000000.0,11433000000.0,21063000000.0,3212000000.0,-19000000.0,20524000000.0,20505000000.0,7513000000.0,7567000000.0,19165000000.0,111419000000.0,174326000000.0,75347000000.0,161092000000.0,80528000000.0,102912000000.0,83751000000.0,66944000000.0,151978000000.0,5455000000.0,-3783000000.0,-364000000.0,24540000000.0,-3250000000.0,-16276000000.0,4941000000.0,14224000000.0,-5810000000.0
US,MSFT,MSFT,2022,Q2,2021-12-31,USD,51728000000.0,16960000000.0,6763000000.0,12521000000.0,23040000000.0,3496000000.0,-22000000.0,22515000000.0,18765000000.0,7505000000.0,7555000000.0,20604000000.0,104744000000.0,174188000000.0,79568000000.0,166201000000.0,77510000000.0,102869000000.0,84528000000.0,75045000000.0,160010000000.0,-9554000000.0,-4640000000.0,-307000000.0,14480000000.0,-1161000000.0,-11986000000.0,1439000000.0,19165000000.0,-5865000000.0
US,MSFT,MSFT,2022,Q3,2022-03-31,USD,49360000000.0,15615000000.0,7075000000.0,13381000000.0,20693000000.0,3773000000.0,16000000.0,20190000000.0,16728000000.0,7493000000.0,7534000000.0,12498000000.0,92162000000.0,153922000000.0,83214000000.0,190685000000.0,77439000000.0,104244000000.0,85767000000.0,79633000000.0,162924000000.0,3072000000.0,1974000000.0,105000000.0,25386000000.0,-16171000000.0,-17345000000.0,-8106000000.0,20604000000.0,-5340000000.0
US,MSFT,MSFT,2022,Q4,2022-06-30,USD,51865000000.0,16429000000.0,8053000000.0,14902000000.0,20983000000.0,3979000000.0,56000000.0,20487000000.0,16740000000.0,7474000000.0,7506000000.0,13931000000.0,90818000000.0,169684000000.0,87546000000.0,195156000000.0,95082000000.0,103216000000.0,86939000000.0,84281000000.0,166542000000.0,1473000000.0,11909000000.0,157000000.0,24629000000.0,-9729000000.0,-13269000000.0,1433000000.0,12498000000.0,-6871000000.0
US,MSFT,MSFT,2023,Q1,2022-09-30,USD,50122000000.0,15452000000.0,6524000000.0,13152000000.0,22072000000.0,2790000000.0,141000000.0,21572000000.0,17556000000.0,7457000000.0,7485000000.0,22884000000.0,84360000000.0,160812000000.0,90384000000.0,198972000000.0,87389000000.0,98829000000.0,88535000000.0,92374000000.0,173566000000.0,1873000000.0,-7746000000.0,-22000000.0,23198000000.0,-3132000000.0,-10883000000.0,8953000000.0,13931000000.0,-6283000000.0
US,MSFT,MSFT,2023,Q2,2022-12-31,USD,52747000000.0,17488000000.0,8016000000.0,14860000000.0,20829000000.0,3648000000.0,210000000.0,20339000000.0,16425000000.0,7451000000.0,7473000000.0,15646000000.0,83849000000.0,157823000000.0,96379000000.0,206730000000.0,81718000000.0,99698000000.0,90225000000.0,99368000000.0,183136000000.0,-10347000000.0,-6430000000.0,214000000.0,11173000000.0,-7150000000.0,-11349000000.0,-7238000000.0,22884000000.0,-6274000000.0
US,MSFT,MSFT,2023,Q3,2023-03-31,USD,52857000000.0,16128000000.0,7393000000.0,14377000000.0,23169000000.0,3549000000.0,252000000.0,22673000000.0,18299000000.0,7441000000.0,7464000000.0,26562000000.0,77857000000.0,163889000000.0,102011000000.0,216199000000.0,85691000000.0,99714000000.0,92093000000.0,108234000000.0,194683000000.0,1843000000.0,3552000000.0,-40000000.0,24441000000.0,-3264000000.0,-10290000000.0,10916000000.0,15646000000.0,-6607000000.0
US,MSFT,MSFT,2023,Q4,2023-06-30,USD,56189000000.0,16795000000.0,8401000000.0,15140000000.0,25209000000.0,3874000000.0,423000000.0,24727000000.0,20081000000.0,7434000000.0,7467000000.0,34704000000.0,76552000000.0,184257000000.0,109987000000.0,227719000000.0,104149000000.0,101604000000.0,93718000000.0,118848000000.0,206223000000.0,4243000000.0,13802000000.0,44000000.0,28770000000.0,-9134000000.0,-11413000000.0,8142000000.0,26562000000.0,-8943000000.0
US,MSFT,MSFT,2024,Q1,2023-09-30,USD,56517000000.0,16302000000.0,6661000000.0,13320000000.0,27809000000.0,3921000000.0,641000000.0,27284000000.0,22291000000.0,7429000000.0,7462000000.0,80452000000.0,63493000000.0,207586000000.0,117937000000.0,238199000000.0,124792000000.0,100279000000.0,95508000000.0,132143000000.0,220714000000.0,2418000000.0,-9325000000.0,14000000.0,30583000000.0,503000000.0,14761000000.0,45748000000.0,34704000000.0,-9917000000.0
US,MSFT,MSFT,2024,Q2,2023-12-31,USD,62020000000.0,19623000000.0,8223000000.0,15365000000.0,27435000000.0,5959000000.0,-175000000.0,26526000000.0,21870000000.0,7432000000.0,7468000000.0,17305000000.0,63677000000.0,147393000000.0,128706000000.0,323165000000.0,121016000000.0,111274000000.0,97480000000.0,145737000000.0,238268000000.0,-10300000000.0,-6302000000.0,198000000.0,18853000000.0,-71925000000.0,-10147000000.0,-63147000000.0,80452000000.0,-9735000000.0
US,MSFT,MSFT,2024,Q3,2024-03-31,USD,61858000000.0,18505000000.0,8119000000.0,15772000000.0,27527000000.0,6027000000.0,-181000000.0,26727000000.0,21939000000.0,7431000000.0,7472000000.0,19634000000.0,60379000000.0,147180000000.0,138746000000.0,337095000000.0,118525000000.0,112598000000.0,99193000000.0,159394000000.0,253152000000.0,2522000000.0,3642000000.0,49000000.0,31917000000.0,-10700000000.0,-18808000000.0,2329000000.0,17305000000.0,-10952000000.0
US,MSFT,MSFT,2024,Q4,2024-06-30,USD,64727000000.0,19684000000.0,9062000000.0,17118000000.0,27951000000.0,6380000000.0,-63000000.0,27250000000.0,22036000000.0,7433000000.0,7472000000.0,18315000000.0,57216000000.0,159734000000.0,154552000000.0,352429000000.0,125286000000.0,118400000000.0,100923000000.0,173144000000.0,268477000000.0,7184000000.0,16171000000.0,44000000.0,37195000000.0,-14848000000.0,-23563000000.0,-1319000000.0,19634000000.0,-13873000000.0
US,MSFT,MSFT,2025,Q1,2024-09-30,USD,65585000000.0,20099000000.0,7390000000.0,14934000000.0,30851000000.0,7383000000.0,99000000.0,30269000000.0,24667000000.0,7433000000.0,7470000000.0,20840000000.0,57589000000.0,149926000000.0,173391000000.0,373087000000.0,115200000000.0,120090000000.0,102976000000.0,188929000000.0,287723000000.0,856000000.0,-11892000000.0,-125000000.0,34180000000.0,-15201000000.0,-16576000000.0,2525000000.0,18315000000.0,-14923000000.0
US,MSFT,MSFT,2025,Q2,2024-12-31,USD,69632000000.0,21799000000.0,8263000000.0,16180000000.0,29959000000.0,6827000000.0,6000000.0,29365000000.0,24108000000.0,7435000000.0,7468000000.0,17482000000.0,54069000000.0,147080000000.0,189718000000.0,386818000000.0,108882000000.0,122321000000.0,104829000000.0,203482000000.0,302695000000.0,-11551000000.0,-7242000000.0,2136000000.0,22291000000.0,-14112000000.0,-11243000000.0,-3358000000.0,20840000000.0,-15804000000.0
US,MSFT,MSFT,2025,Q3,2025-03-31,USD,70066000000.0,21919000000.0,7949000000.0,16147000000.0,31971000000.0,8740000000.0,3000000.0,31377000000.0,25824000000.0,7434000000.0,7461000000.0,28828000000.0,50784000000.0,156644000000.0,208414000000.0,405980000000.0,114206000000.0,126527000000.0,106965000000.0,219759000000.0,321891000000.0,2042000000.0,3272000000.0,-298000000.0,37044000000.0,-12714000000.0,-13036000000.0,11346000000.0,17482000000.0,-16745000000.0
US,MSFT,MSFT,2025,Q4,2025-06-30,USD,76441000000.0,24014000000.0,9275000000.0,18104000000.0,33231000000.0,11203000000.0,154000000.0,32616000000.0,27233000000.0,7432000000.0,7461000000.0,30242000000.0,64313000000.0,191131000000.0,229789000000.0,427872000000.0,141218000000.0,134306000000.0,109095000000.0,237731000000.0,343479000000.0,3303000000.0,20215000000.0,56000000.0,42647000000.0,-30572000000.0,-10844000000.0,1414000000.0,28828000000.0,-17079000000.0
US,MSFT,MSFT,2026,Q1,2025-09-30,USD,77673000000.0,24043000000.0,7523000000.0,15669000000.0,34999000000.0,13061000000.0,278000000.0,34301000000.0,27747000000.0,7433000000.0,7466000000.0,28849000000.0,73156000000.0,189066000000.0,255652000000.0,447285000000.0,134996000000.0,138279000000.0,110964000000.0,254873000000.0,363076000000.0,-218000000.0,-15902000000.0,-1007000000.0,45057000000.0,-34559000000.0,-11799000000.0,-1393000000.0,30242000000.0,-19394000000.0
US,MSFT,MSFT,2026,Q2,2025-12-31,USD,81273000000.0,25978000000.0,8516000000.0,17020000000.0,48982000000.0,9198000000.0,104000000.0,48246000000.0,38458000000.0,7431000000.0,7460000000.0,24296000000.0,65160000000.0,180190000000.0,286229000000.0,485112000000.0,130005000000.0,144422000000.0,112788000000.0,280789000000.0,390875000000.0,-9632000000.0,-7463000000.0,-9931000000.0,35758000000.0,-22705000000.0,-17617000000.0,-4553000000.0,28849000000.0,-29876000000.0
US,MSFT,MSFT,2026,Q3,2026-03-31,USD,82886000000.0,26828000000.0,8745000000.0,17660000000.0,40118000000.0,10167000000.0,-48000000.0,39340000000.0,31778000000.0,7426000000.0,7445000000.0,32105000000.0,46167000000.0,175329000000.0,307631000000.0,518899000000.0,136661000000.0,143200000000.0,115069000000.0,302526000000.0,414367000000.0,331000000.0,2879000000.0,-1280000000.0,46679000000.0,-27405000000.0,-11351000000.0,7809000000.0,24296000000.0,-30876000000.0
