country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income_attr_parent,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,fixed_assets,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,total_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MSFT,MSFT,2016,Q4,2016-06-30,USD,20614000000.0,7979000000.0,5299000000.0,8445000000.0,3692000000.0,1910000000.0,-345000000.0,3347000000.0,3122000000.0,7842000000.0,7929000000.0,6510000000.0,106730000000.0,139660000000.0,18356000000.0,53808000000.0,59357000000.0,62114000000.0,68178000000.0,2282000000.0,71997000000.0,15426000000.0,21327000000.0,-12813000000.0,8464000000.0,-10073000000.0,971000000.0,-660000000.0,7170000000.0,-2655000000.0
US,MSFT,MSFT,2017,Q1,2016-09-30,USD,21928000000.0,7844000000.0,4263000000.0,7369000000.0,7264000000.0,1816000000.0,-437000000.0,6827000000.0,5667000000.0,7789000000.0,7876000000.0,13928000000.0,123004000000.0,157909000000.0,19224000000.0,54615000000.0,58810000000.0,83342000000.0,67747000000.0,944000000.0,70372000000.0,3134000000.0,-2743000000.0,-311000000.0,11549000000.0,-18470000000.0,14329000000.0,7418000000.0,6510000000.0,-2163000000.0
US,MSFT,MSFT,2017,Q2,2016-12-31,USD,25826000000.0,9901000000.0,4958000000.0,8020000000.0,8543000000.0,2166000000.0,-521000000.0,8022000000.0,6267000000.0,7755000000.0,7830000000.0,8468000000.0,114313000000.0,144949000000.0,21379000000.0,79661000000.0,70787000000.0,85014000000.0,68177000000.0,120000000.0,68809000000.0,-2260000000.0,-702000000.0,-652000000.0,6293000000.0,-14751000000.0,3016000000.0,-5460000000.0,13928000000.0,-1988000000.0
US,MSFT,MSFT,2017,Q3,2017-03-31,USD,23212000000.0,8060000000.0,5074000000.0,8429000000.0,7703000000.0,2453000000.0,-609000000.0,7094000000.0,5486000000.0,7725000000.0,7813000000.0,6713000000.0,119305000000.0,146313000000.0,21962000000.0,78704000000.0,52005000000.0,103283000000.0,68554000000.0,531000000.0,69729000000.0,2712000000.0,1738000000.0,-590000000.0,10660000000.0,-6191000000.0,-6236000000.0,-1755000000.0,8468000000.0,-1695000000.0
US,MSFT,MSFT,2017,Q4,2017-06-30,USD,25605000000.0,8456000000.0,5647000000.0,9161000000.0,8613000000.0,2343000000.0,732000000.0,7958000000.0,8069000000.0,7746000000.0,7832000000.0,7663000000.0,125318000000.0,162696000000.0,30289000000.0,87616000000.0,55745000000.0,106856000000.0,69315000000.0,17769000000.0,87711000000.0,19948000000.0,26172000000.0,-16765000000.0,11005000000.0,-7369000000.0,-2701000000.0,950000000.0,6713000000.0,-2283000000.0
US,MSFT,MSFT,2018,Q1,2017-09-30,USD,24538000000.0,8278000000.0,4978000000.0,8552000000.0,8656000000.0,2499000000.0,-199000000.0,7984000000.0,6576000000.0,7708000000.0,7799000000.0,6884000000.0,131587000000.0,161031000000.0,31653000000.0,88066000000.0,51615000000.0,107835000000.0,69419000000.0,19702000000.0,89647000000.0,2968000000.0,-3551000000.0,-523000000.0,12440000000.0,-6904000000.0,-6341000000.0,-779000000.0,7663000000.0,-2132000000.0
US,MSFT,MSFT,2018,Q2,2017-12-31,USD,28918000000.0,11064000000.0,5671000000.0,9175000000.0,9867000000.0,2536000000.0,-168000000.0,9169000000.0,-6302000000.0,7710000000.0,7710000000.0,12859000000.0,129921000000.0,167633000000.0,33053000000.0,88370000000.0,58099000000.0,119544000000.0,70192000000.0,8567000000.0,78360000000.0,13644000000.0,15409000000.0,-684000000.0,7875000000.0,-331000000.0,-1552000000.0,5975000000.0,6884000000.0,-2586000000.0
US,MSFT,MSFT,2018,Q3,2018-03-31,USD,26819000000.0,9269000000.0,5543000000.0,9258000000.0,9332000000.0,2710000000.0,-116000000.0,8641000000.0,7424000000.0,7698000000.0,7794000000.0,9221000000.0,123049000000.0,156659000000.0,34788000000.0,88838000000.0,46133000000.0,120125000000.0,70418000000.0,9974000000.0,79239000000.0,1882000000.0,1065000000.0,-438000000.0,12151000000.0,3844000000.0,-19658000000.0,-3638000000.0,12859000000.0,-2934000000.0
US,MSFT,MSFT,2018,Q4,2018-06-30,USD,30085000000.0,9742000000.0,6031000000.0,9964000000.0,11352000000.0,2516000000.0,-672000000.0,10680000000.0,8873000000.0,7683000000.0,7775000000.0,11946000000.0,121822000000.0,169662000000.0,36146000000.0,89186000000.0,58488000000.0,117642000000.0,71223000000.0,13682000000.0,82718000000.0,1973000000.0,10723000000.0,-567000000.0,11418000000.0,-2670000000.0,-6039000000.0,2725000000.0,9221000000.0,-3980000000.0
US,MSFT,MSFT,2019,Q1,2018-09-30,USD,29084000000.0,9905000000.0,5247000000.0,9224000000.0,10895000000.0,2837000000.0,7000000.0,10221000000.0,8824000000.0,7673000000.0,7766000000.0,15137000000.0,120743000000.0,164195000000.0,38164000000.0,93424000000.0,56277000000.0,115375000000.0,71303000000.0,17279000000.0,85967000000.0,1376000000.0,-6467000000.0,-240000000.0,13657000000.0,-2953000000.0,-7384000000.0,3191000000.0,11946000000.0,-3602000000.0
