country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,net_income,pretax_income,operating_profit,gross_profit,admin_expense,other_income,interest_expense,income_tax,comprehensive_income,basic_eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_equivalents,total_assets,total_equity,current_assets,total_liabilities,current_liabilities,fixed_assets,share_capital
HK,09988,09988,2016,Q2,2016-06-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2016,Q3,2016-09-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2016,Q4,2016-12-31,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2017,Q1,2017-03-31,HKD,158273000000.0,43675000000.0,55002000000.0,48055000000.0,98790000000.0,12239000000.0,0.0,2671000000.0,13776000000.0,42566000000.0,2.19,82854000000.0,-79579000000.0,32914000000.0,143736000000.0,506812000000.0,281791000000.0,181864000000.0,182691000000.0,93564000000.0,20206000000.0,1000000.0
HK,09988,09988,2017,Q2,2017-06-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2017,Q3,2017-09-30,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2017,Q4,2017-12-31,HKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2018,Q1,2018-03-31,HKD,250266000000.0,64093000000.0,79611000000.0,69314000000.0,143222000000.0,16241000000.0,0.0,3566000000.0,18199000000.0,60946000000.0,3.13,125805000000.0,-83764000000.0,20359000000.0,199309000000.0,717124000000.0,368823000000.0,256855000000.0,277685000000.0,135810000000.0,66489000000.0,1000000.0
HK,09988,09988,2018,Q2,2018-06-30,HKD,80920000000.0,8720000000.0,13315000000.0,8020000000.0,37200000000.0,6645000000.0,0.0,1213000000.0,5665000000.0,9122000000.0,0.42,36117000000.0,-71670000000.0,4281000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2018,Q3,2018-09-30,HKD,85148000000.0,20133000000.0,18518000000.0,13501000000.0,38362000000.0,4779000000.0,0.0,1340000000.0,277000000.0,0.0,0.97,31407000000.0,-31584000000.0,-3477000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2018,Q4,2018-12-31,HKD,117278000000.0,33120000000.0,36550000000.0,26798000000.0,56465000000.0,5853000000.0,0.0,1334000000.0,5586000000.0,0.0,1.6000000000000003,64898000000.0,-31055000000.0,-8915000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,09988,09988,2019,Q1,2019-03-31,HKD,93498000000.0,25913000000.0,28404000000.0,8765000000.0,37888000000.0,7612000000.0,0.0,1303000000.0,5025000000.0,81589000000.0,1.25,18553000000.0,-16751000000.0,719000000.0,189976000000.0,965076000000.0,499076000000.0,270273000000.0,349674000000.0,207669000000.0,92030000000.0,1000000.0
HK,09988,09988,2019,Q2,2019-06-30,HKD,114924000000.0,21448000000.0,25834000000.0,24375000000.0,54937000000.0,6320000000.0,0.0,1346000000.0,6712000000.0,0.0,1.02,34612000000.0,-21136000000.0,4493000000.0,210539000000.0,1018854000000.0,528124000000.0,290632000000.0,373797000000.0,210700000000.0,94184000000.0,1000000.0
HK,09988,09988,2019,Q3,2019-09-30,HKD,119017000000.0,72591000000.0,73563000000.0,20364000000.0,53471000000.0,6591000000.0,0.0,1360000000.0,2815000000.0,0.0,3.4899999999999998,47326000000.0,-21353000000.0,2106000000.0,234177000000.0,1159577000000.0,610305000000.0,335687000000.0,431840000000.0,243949000000.0,100907000000.0,1000000.0
HK,09988,09988,2019,Q4,2019-12-31,HKD,161456000000.0,52174000000.0,58539000000.0,39560000000.0,77124000000.0,7415000000.0,0.0,1309000000.0,8407000000.0,0.0,2.49,96505000000.0,-32588000000.0,61287000000.0,350575000000.0,1319495000000.0,751911000000.0,459446000000.0,452385000000.0,262458000000.0,101520000000.0,1000000.0
HK,09988,09988,2020,Q1,2020-03-31,HKD,509711000000.0,149433000000.0,160912000000.0,91430000000.0,227344000000.0,28197000000.0,0.0,5180000000.0,20562000000.0,142355000000.0,7.1,180607000000.0,-108072000000.0,70853000000.0,330503000000.0,1312985000000.0,764504000000.0,462923000000.0,433334000000.0,241872000000.0,103387000000.0,1000000.0
HK,09988,09988,2020,Q2,2020-06-30,HKD,153751000000.0,47533000000.0,57561000000.0,34705000000.0,69228000000.0,6837000000.0,0.0,1123000000.0,11124000000.0,0.0,2.21,50099000000.0,-67728000000.0,-4609000000.0,309267000000.0,1369177000000.0,816523000000.0,491312000000.0,440695000000.0,248093000000.0,111461000000.0,1000000.0
HK,09988,09988,2020,Q3,2020-09-30,HKD,155059000000.0,28876000000.0,28435000000.0,13634000000.0,65099000000.0,11961000000.0,0.0,1101000000.0,1911000000.0,0.0,1.33,54296000000.0,-69053000000.0,10106000000.0,301509000000.0,1433626000000.0,865436000000.0,522935000000.0,452403000000.0,262942000000.0,118037000000.0,1000000.0
HK,09988,09988,2020,Q4,2020-12-31,HKD,221084000000.0,79535000000.0,87171000000.0,49002000000.0,99816000000.0,8692000000.0,0.0,1092000000.0,9194000000.0,0.0,3.67,103208000000.0,-79712000000.0,-5685000000.0,312137000000.0,1635266000000.0,945504000000.0,597726000000.0,552912000000.0,358160000000.0,147082000000.0,1000000.0
HK,09988,09988,2021,Q1,2021-03-31,HKD,717289000000.0,150578000000.0,172562000000.0,89678000000.0,296084000000.0,55224000000.0,0.0,4476000000.0,29278000000.0,123293000000.0,6.95,231786000000.0,-244194000000.0,30082000000.0,321262000000.0,1690218000000.0,946143000000.0,643360000000.0,606584000000.0,377358000000.0,147412000000.0,1000000.0
HK,09988,09988,2021,Q2,2021-06-30,HKD,205740000000.0,45068000000.0,51931000000.0,30847000000.0,81643000000.0,7168000000.0,0.0,1267000000.0,9096000000.0,0.0,2.08,33603000000.0,-47775000000.0,-11468000000.0,291809000000.0,1715212000000.0,983866000000.0,647137000000.0,596595000000.0,368199000000.0,152606000000.0,1000000.0
